generator,difficulty,fitted_model,n_train_trajectories,fit_success,train_loglik,n_iter,optimizer_message,theta_hat,mu_hat,base_mu_hat,branch_sep_hat,delta_hat,sigma_hat,q_hat,lambda_hat,sJ_hat,obs_sd_hat
OU+L,Intermediate,OU+B,10,True,-28.523799477866888,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.0047555365799578095,0.06365228623267102,,0.05,0.005,,,0.23530607192724837
OU+L,Intermediate,OULB,10,True,-28.428108318951875,66,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.002207785503388444,0.05,-0.011463294659425935,0.05,0.005,1.0,0.06677444358914465,0.23179991826888896
OU+L,Difficult,OU,10,True,-62.25990330462517,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,0.04189470732592948,,,,0.05,,,,0.3930333245687668
OU+L,Difficult,OU+T,10,True,-62.19644148284597,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,0.05944353275491089,,,-0.037334882700084525,0.05,,,,0.3928053125235769
OU+L,Difficult,OU+L,10,True,-62.260560237621085,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,0.041893792610309497,,,,0.05,,0.005,0.05,0.3930241706544994
OU+L,Difficult,OU+B,10,True,-62.28997552006075,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.04189916440521928,0.05,,0.05,1.0,,,0.392840006081843
OU+L,Difficult,OULB,10,True,-62.22674190622523,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.05952967472746772,0.05,-0.037511544586151045,0.05,1.0,0.005,0.05,0.3925993068579572
OU+B,Easy,OU,10,True,750.8622084312644,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0019151565834039392,,,,0.05,,,,0.05254560317907075
OU+B,Easy,OU+T,10,True,751.01241703913,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.002380063878110259,,,-0.00885857064511627,0.05,,,,0.05253195225646303
OU+B,Easy,OU+L,10,True,750.84979856208,42,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.001986577045400817,,,,0.05,,0.005,0.1331427326978961,0.05245708547512585
OU+B,Easy,OU+B,10,True,748.7295241922873,35,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.0018218116097374396,0.05,,0.05,1.0,,,0.052510007283039284
OU+B,Easy,OULB,10,True,748.8546051807919,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.0024397404165978575,0.05,-0.008914345525103581,0.05,1.0,0.005,0.14081534736258683,0.05239962151012882
