jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_replicates,n_precision_evaluable,n_recall_evaluable,precision_mean,precision_sd,precision_median,recall_mean,recall_sd,false_positive_rate_mean,f1_mean,mean_true_jumps
0.5,0.2,0.2,0.1,20,50,41,46,0.35365853658536583,0.3378550024937134,0.3333333333333333,0.3278985507246377,0.3606416495024911,0.07676350189198486,0.35423280423280423,2.12
0.5,0.2,0.2,0.1,40,50,50,47,0.14965367965367965,0.13073230339493322,0.16666666666666666,0.43465045592705165,0.34443284704867644,0.16803476662029293,0.22435412664975934,2.3
0.5,0.2,0.2,0.25,20,50,50,45,0.12166061716061716,0.1120380863845077,0.11805555555555555,0.45629629629629626,0.36376761800662416,0.40284178583714186,0.19064898064898064,2.26
0.5,0.2,0.2,0.25,40,50,50,47,0.08165809026079587,0.0629792558250535,0.05756578947368421,0.6937183383991894,0.30233425306233436,0.5345114937336299,0.14892157425791477,2.62
0.5,0.2,0.35,0.0,20,50,6,44,0.8333333333333334,0.408248290463863,1.0,0.055681818181818186,0.18811396230526964,0.001176470588235294,0.5055555555555555,2.06
0.5,0.2,0.35,0.0,40,50,18,46,0.8055555555555556,0.38877215801761467,1.0,0.1358695652173913,0.2430253604432513,0.00270428323059902,0.44285714285714284,2.64
0.5,0.2,0.35,0.1,20,50,21,42,0.19841269841269843,0.363696483726654,0.0,0.0853174603174603,0.24312226007965254,0.0253046955624355,0.21666666666666667,1.9
0.5,0.2,0.35,0.1,40,50,43,48,0.19651162790697674,0.29686541718390436,0.0,0.18437499999999998,0.2876168947269748,0.0450377085144887,0.18582766439909296,2.48
0.5,0.2,0.35,0.25,20,50,50,49,0.16057142857142856,0.215739137491129,0.0,0.2207482993197279,0.2845263000488727,0.17558360172679058,0.1629413670229997,2.82
0.5,0.2,0.35,0.25,40,50,50,46,0.09049293104556262,0.09344185144155638,0.08712121212121213,0.4058143547273982,0.3539325064140746,0.30953778505055596,0.14983225551028287,2.62
0.5,0.5,0.1,0.0,20,50,47,47,0.9833333333333334,0.06602956445140704,1.0,0.852127659574468,0.22478161761870685,0.0037598039215686273,0.8913880445795339,2.56
0.5,0.5,0.1,0.0,40,50,46,47,0.9710144927536232,0.11278925954736627,1.0,0.8695035460992908,0.2068080146871553,0.0021479374110953057,0.913543823326432,2.5
0.5,0.5,0.1,0.1,20,50,50,45,0.25265795315795314,0.20007795922574062,0.2111111111111111,0.7462962962962963,0.33209787882841774,0.3148820221745918,0.38373700373700376,2.32
0.5,0.5,0.1,0.1,40,50,50,45,0.10546104926691142,0.07352270364547715,0.10526315789473684,0.8281481481481481,0.2675841749517786,0.44849377158974685,0.20069736145653347,2.26
0.5,0.5,0.1,0.25,20,50,50,46,0.1615601783837078,0.10831652046668697,0.14285714285714285,0.7978260869565218,0.23694581074641047,0.6669513234443575,0.2762139299879911,2.66
0.5,0.5,0.1,0.25,40,50,50,45,0.06579440968237343,0.043051911362097135,0.06451612903225806,0.8607407407407408,0.2022335994135546,0.7834591984220468,0.13260088161974248,2.36
0.5,0.5,0.2,0.0,20,50,37,46,0.954954954954955,0.17850825900183212,1.0,0.5134057971014493,0.3416123636199259,0.003855042016806722,0.7433290433290434,2.2
0.5,0.5,0.2,0.0,40,50,43,47,0.9709302325581395,0.11192714368195845,1.0,0.6632725430597771,0.3293206211992948,0.001672916936074831,0.7975466394071045,2.36
0.5,0.5,0.2,0.1,20,50,46,44,0.5568840579710145,0.3371371133119323,0.6666666666666666,0.6685606060606061,0.34234364599343586,0.07047391763723032,0.6439357864357864,2.38
0.5,0.5,0.2,0.1,40,50,50,43,0.195021645021645,0.15419039440822976,0.19090909090909092,0.6794573643410853,0.35227599376685076,0.1647325227789624,0.3298525763642043,2.04
0.5,0.5,0.2,0.25,20,50,50,46,0.17366494616494615,0.11953241813951151,0.16025641025641024,0.6696687370600414,0.338489387504117,0.4106682637967468,0.28210533427924733,2.3
0.5,0.5,0.2,0.25,40,50,50,41,0.07334873436913415,0.05623615169896094,0.06904761904761905,0.7601626016260163,0.33077934170641454,0.5449468951821893,0.15749933708541583,2.08
0.5,0.5,0.35,0.0,20,50,35,46,0.9285714285714286,0.21498485387337868,1.0,0.3467391304347826,0.28169722747241727,0.00506453634085213,0.6054621848739495,2.56
0.5,0.5,0.35,0.0,40,50,35,44,0.9214285714285714,0.17957700064224225,1.0,0.49962121212121213,0.34529859445538363,0.003308391540589683,0.7102267573696145,2.5
0.5,0.5,0.35,0.1,20,50,35,43,0.7142857142857143,0.42070868581398185,1.0,0.3420819490586932,0.34102983740042936,0.015201668386652907,0.5243145743145743,2.18
0.5,0.5,0.35,0.1,40,50,46,47,0.36231884057971014,0.2982198398865284,0.3333333333333333,0.48156028368794324,0.39215178163257014,0.05255591310390072,0.4086982461982462,2.36
0.5,0.5,0.35,0.25,20,50,50,44,0.2945952380952381,0.27002788581716086,0.25,0.4920454545454545,0.3588578032458464,0.16387861811391222,0.3663190345008527,2.4
0.5,0.5,0.35,0.25,40,50,50,46,0.10758445347222438,0.08823986353461849,0.09090909090909091,0.5618357487922705,0.32761684414065256,0.3325315805532524,0.18514488170763227,2.62
0.5,0.9,0.1,0.0,20,50,43,44,0.9883720930232558,0.07624928516630232,1.0,0.859090909090909,0.23153946497969188,0.001176470588235294,0.9190107050572167,2.3
0.5,0.9,0.1,0.0,40,50,48,48,0.9565972222222222,0.1684212460322367,1.0,0.8944444444444445,0.22495950077681923,0.0021487276750434643,0.9092502405002404,2.38
0.5,0.9,0.1,0.1,20,50,50,42,0.24113708513708512,0.16994638498128778,0.26785714285714285,0.8845238095238095,0.2486928661938309,0.327698492082393,0.41806578886410817,2.04
0.5,0.9,0.1,0.1,40,50,50,47,0.12075410739557327,0.08247174053070659,0.10818713450292397,0.8911347517730497,0.24529020237177596,0.45434243738578106,0.21818725600462358,2.38
0.5,0.9,0.1,0.25,20,50,50,46,0.13223567772097183,0.08924636234202055,0.1380952380952381,0.8967391304347826,0.24732194156698192,0.6879197994987468,0.2401311432170229,2.02
0.5,0.9,0.1,0.25,40,50,50,43,0.0646618772533614,0.04570392527950042,0.0625,0.9418604651162791,0.19881833765826662,0.7497178628974295,0.13712367896191394,2.02
0.5,0.9,0.2,0.0,20,50,42,46,0.9702380952380952,0.15813683631956676,1.0,0.7365942028985507,0.3317484463706658,0.0024444444444444444,0.8639644746787605,2.34
0.5,0.9,0.2,0.0,40,50,46,45,0.9492753623188406,0.21043624651811116,1.0,0.8292592592592594,0.2502815474104839,0.001581196581196581,0.8971943460579823,2.46
0.5,0.9,0.2,0.1,20,50,48,50,0.6879464285714286,0.31145775924883345,0.6666666666666666,0.8381428571428572,0.28991824970635355,0.05432114127702363,0.7251230251230251,2.2
0.5,0.9,0.2,0.1,40,50,50,49,0.2592983372836314,0.15624908041161814,0.25,0.8271622934888241,0.28748291807651244,0.18112792406484357,0.3811119884096443,2.72
0.5,0.9,0.2,0.25,20,50,50,46,0.2289184704184704,0.14089950172799304,0.25,0.8047101449275362,0.24387972757985238,0.3978904349864102,0.3587931498737126,2.3
0.5,0.9,0.2,0.25,40,50,50,46,0.09057887706561951,0.06730327499377874,0.08695652173913043,0.8315217391304348,0.26729620738026044,0.5467166298961965,0.17086097275518922,2.4
