replicate,scenario,event,interval,event_time,time_start,time_end,from,to,branch_from,branch_to,n_jumps,magnitude
104,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,1.0,0.0,,,,
104,branch_reorganization,branch_transition,2,0.16666666666666666,,,,,0.0,1.0,,
104,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,1.0,0.0,,
107,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,0.0,1.0,,,,
107,branch_reorganization,branch_transition,10,0.611111111111111,,,,,0.0,1.0,,
110,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,1.0,,,,
110,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,0.0,1.0,,
113,branch_reorganization,branch_transition,0,0.05555555555555555,0.0,0.05555555555555555,0.0,1.0,,,,
113,branch_reorganization,branch_transition,0,0.05555555555555555,,,,,0.0,1.0,,
119,branch_reorganization,branch_transition,11,0.6666666666666666,0.611111111111111,0.6666666666666666,0.0,1.0,,,,
119,branch_reorganization,branch_transition,11,0.6666666666666666,,,,,0.0,1.0,,
122,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,0.0,1.0,,,,
122,branch_reorganization,branch_transition,10,0.611111111111111,,,,,0.0,1.0,,
125,branch_reorganization,branch_transition,16,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.0,1.0,,,,
125,branch_reorganization,branch_transition,16,0.9444444444444444,,,,,0.0,1.0,,
131,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,1.0,,,,
131,branch_reorganization,branch_transition,13,0.7777777777777777,0.7222222222222222,0.7777777777777777,1.0,0.0,,,,
131,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,0.0,1.0,,
131,branch_reorganization,branch_transition,13,0.7777777777777777,,,,,1.0,0.0,,
134,branch_reorganization,branch_transition,15,0.8888888888888888,0.8333333333333333,0.8888888888888888,0.0,1.0,,,,
134,branch_reorganization,branch_transition,15,0.8888888888888888,,,,,0.0,1.0,,
143,branch_reorganization,branch_transition,2,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,1.0,,,,
143,branch_reorganization,branch_transition,7,0.4444444444444444,0.38888888888888884,0.4444444444444444,1.0,0.0,,,,
143,branch_reorganization,branch_transition,9,0.5555555555555556,0.5,0.5555555555555556,0.0,1.0,,,,
143,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,1.0,0.0,,,,
143,branch_reorganization,branch_transition,14,0.8333333333333333,0.7777777777777777,0.8333333333333333,0.0,1.0,,,,
143,branch_reorganization,branch_transition,2,0.16666666666666666,,,,,0.0,1.0,,
143,branch_reorganization,branch_transition,7,0.4444444444444444,,,,,1.0,0.0,,
143,branch_reorganization,branch_transition,9,0.5555555555555556,,,,,0.0,1.0,,
143,branch_reorganization,branch_transition,10,0.611111111111111,,,,,1.0,0.0,,
143,branch_reorganization,branch_transition,14,0.8333333333333333,,,,,0.0,1.0,,
149,branch_reorganization,branch_transition,7,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.0,1.0,,,,
149,branch_reorganization,branch_transition,7,0.4444444444444444,,,,,0.0,1.0,,
152,branch_reorganization,branch_transition,1,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,1.0,,,,
152,branch_reorganization,branch_transition,3,0.2222222222222222,0.16666666666666666,0.2222222222222222,1.0,0.0,,,,
152,branch_reorganization,branch_transition,14,0.8333333333333333,0.7777777777777777,0.8333333333333333,0.0,1.0,,,,
152,branch_reorganization,branch_transition,1,0.1111111111111111,,,,,0.0,1.0,,
152,branch_reorganization,branch_transition,3,0.2222222222222222,,,,,1.0,0.0,,
152,branch_reorganization,branch_transition,14,0.8333333333333333,,,,,0.0,1.0,,
155,branch_reorganization,branch_transition,4,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.0,1.0,,,,
155,branch_reorganization,branch_transition,13,0.7777777777777777,0.7222222222222222,0.7777777777777777,1.0,0.0,,,,
155,branch_reorganization,branch_transition,4,0.2777777777777778,,,,,0.0,1.0,,
155,branch_reorganization,branch_transition,13,0.7777777777777777,,,,,1.0,0.0,,
167,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,1.0,,,,
167,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,0.0,1.0,,
182,branch_reorganization,branch_transition,13,0.7777777777777777,0.7222222222222222,0.7777777777777777,0.0,1.0,,,,
182,branch_reorganization,branch_transition,13,0.7777777777777777,,,,,0.0,1.0,,
185,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
185,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,1.0,0.0,,,,
185,branch_reorganization,branch_transition,15,0.8888888888888888,0.8333333333333333,0.8888888888888888,0.0,1.0,,,,
185,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,1.0,0.0,,,,
185,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
185,branch_reorganization,branch_transition,10,0.611111111111111,,,,,1.0,0.0,,
185,branch_reorganization,branch_transition,15,0.8888888888888888,,,,,0.0,1.0,,
185,branch_reorganization,branch_transition,17,1.0,,,,,1.0,0.0,,
188,branch_reorganization,branch_transition,4,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.0,1.0,,,,
188,branch_reorganization,branch_transition,4,0.2777777777777778,,,,,0.0,1.0,,
191,branch_reorganization,branch_transition,1,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,1.0,,,,
191,branch_reorganization,branch_transition,1,0.1111111111111111,,,,,0.0,1.0,,
194,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
194,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
197,branch_reorganization,branch_transition,3,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.0,1.0,,,,
197,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,1.0,0.0,,,,
197,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,0.0,1.0,,,,
197,branch_reorganization,branch_transition,3,0.2222222222222222,,,,,0.0,1.0,,
197,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,1.0,0.0,,
197,branch_reorganization,branch_transition,17,1.0,,,,,0.0,1.0,,
200,branch_reorganization,branch_transition,8,0.5,0.4444444444444444,0.5,0.0,1.0,,,,
200,branch_reorganization,branch_transition,16,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.0,,,,
200,branch_reorganization,branch_transition,8,0.5,,,,,0.0,1.0,,
200,branch_reorganization,branch_transition,16,0.9444444444444444,,,,,1.0,0.0,,
203,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
203,branch_reorganization,branch_transition,6,0.38888888888888884,0.3333333333333333,0.38888888888888884,1.0,0.0,,,,
203,branch_reorganization,branch_transition,9,0.5555555555555556,0.5,0.5555555555555556,0.0,1.0,,,,
203,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,1.0,0.0,,,,
203,branch_reorganization,branch_transition,16,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.0,1.0,,,,
203,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
203,branch_reorganization,branch_transition,6,0.38888888888888884,,,,,1.0,0.0,,
203,branch_reorganization,branch_transition,9,0.5555555555555556,,,,,0.0,1.0,,
203,branch_reorganization,branch_transition,10,0.611111111111111,,,,,1.0,0.0,,
203,branch_reorganization,branch_transition,16,0.9444444444444444,,,,,0.0,1.0,,
206,branch_reorganization,branch_transition,2,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,1.0,,,,
206,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,1.0,0.0,,,,
206,branch_reorganization,branch_transition,16,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.0,1.0,,,,
206,branch_reorganization,branch_transition,2,0.16666666666666666,,,,,0.0,1.0,,
