replicate,seed,jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_observed,n_true_jumps,n_detected_jumps,tp,fp,tn,fn,precision,recall,false_positive_rate,f1,condition_index
2,1994438855,0.1,0.2,0.1,0.25,20,20,1,10,0,10,8,1,0.0,0.0,0.5555555555555556,0.0,4
3,1614472145,0.1,0.2,0.1,0.25,20,20,1,15,0,15,3,1,0.0,0.0,0.8333333333333334,0.0,4
4,446122326,0.1,0.2,0.1,0.25,20,20,1,13,1,12,6,0,0.07692307692307693,1.0,0.6666666666666666,0.14285714285714288,4
5,698140458,0.1,0.2,0.1,0.25,20,20,1,14,1,13,5,0,0.07142857142857142,1.0,0.7222222222222222,0.13333333333333333,4
6,1544098723,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
7,1139952121,0.1,0.2,0.1,0.25,20,20,1,11,1,10,8,0,0.09090909090909091,1.0,0.5555555555555556,0.16666666666666669,4
8,874748641,0.1,0.2,0.1,0.25,20,20,0,15,0,15,4,0,0.0,,0.7894736842105263,,4
9,1130547550,0.1,0.2,0.1,0.25,20,20,0,10,0,10,9,0,0.0,,0.5263157894736842,,4
10,317427682,0.1,0.2,0.1,0.25,20,20,0,11,0,11,8,0,0.0,,0.5789473684210527,,4
11,163629530,0.1,0.2,0.1,0.25,20,20,2,10,1,9,8,1,0.1,0.5,0.5294117647058824,0.16666666666666669,4
12,1855359698,0.1,0.2,0.1,0.25,20,20,2,11,2,9,8,0,0.18181818181818182,1.0,0.5294117647058824,0.3076923076923077,4
13,427002965,0.1,0.2,0.1,0.25,20,20,2,12,2,10,7,0,0.16666666666666666,1.0,0.5882352941176471,0.2857142857142857,4
14,545599248,0.1,0.2,0.1,0.25,20,20,0,12,0,12,7,0,0.0,,0.631578947368421,,4
15,1002077732,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
16,872285159,0.1,0.2,0.1,0.25,20,20,1,11,0,11,7,1,0.0,0.0,0.6111111111111112,0.0,4
17,1340237591,0.1,0.2,0.1,0.25,20,20,1,16,0,16,2,1,0.0,0.0,0.8888888888888888,0.0,4
18,1739540739,0.1,0.2,0.1,0.25,20,20,0,15,0,15,4,0,0.0,,0.7894736842105263,,4
19,1239599576,0.1,0.2,0.1,0.25,20,20,0,13,0,13,6,0,0.0,,0.6842105263157895,,4
20,643261323,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
21,1873644742,0.1,0.2,0.1,0.25,20,20,1,14,0,14,4,1,0.0,0.0,0.7777777777777778,0.0,4
22,1013050606,0.1,0.2,0.1,0.25,20,20,1,11,1,10,8,0,0.09090909090909091,1.0,0.5555555555555556,0.16666666666666669,4
23,655314926,0.1,0.2,0.1,0.25,20,20,0,10,0,10,9,0,0.0,,0.5263157894736842,,4
24,1999059433,0.1,0.2,0.1,0.25,20,20,0,13,0,13,6,0,0.0,,0.6842105263157895,,4
25,225857611,0.1,0.2,0.1,0.25,20,20,0,10,0,10,9,0,0.0,,0.5263157894736842,,4
26,1385459197,0.1,0.2,0.1,0.25,20,20,1,16,1,15,3,0,0.0625,1.0,0.8333333333333334,0.11764705882352941,4
27,98545394,0.1,0.2,0.1,0.25,20,20,0,19,0,19,0,0,0.0,,1.0,,4
28,620331061,0.1,0.2,0.1,0.25,20,20,0,13,0,13,6,0,0.0,,0.6842105263157895,,4
29,1323542817,0.1,0.2,0.1,0.25,20,20,0,11,0,11,8,0,0.0,,0.5789473684210527,,4
30,178987114,0.1,0.2,0.1,0.25,20,20,0,17,0,17,2,0,0.0,,0.8947368421052632,,4
31,925815851,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
32,411344884,0.1,0.2,0.1,0.25,20,20,1,10,0,10,8,1,0.0,0.0,0.5555555555555556,0.0,4
33,1862309009,0.1,0.2,0.1,0.25,20,20,0,10,0,10,9,0,0.0,,0.5263157894736842,,4
34,1142783938,0.1,0.2,0.1,0.25,20,20,0,11,0,11,8,0,0.0,,0.5789473684210527,,4
35,494494045,0.1,0.2,0.1,0.25,20,20,0,12,0,12,7,0,0.0,,0.631578947368421,,4
36,1372681071,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
37,656688977,0.1,0.2,0.1,0.25,20,20,0,16,0,16,3,0,0.0,,0.8421052631578947,,4
38,1378478481,0.1,0.2,0.1,0.25,20,20,1,13,1,12,6,0,0.07692307692307693,1.0,0.6666666666666666,0.14285714285714288,4
39,1489231329,0.1,0.2,0.1,0.25,20,20,0,16,0,16,3,0,0.0,,0.8421052631578947,,4
40,502075391,0.1,0.2,0.1,0.25,20,20,1,16,1,15,3,0,0.0625,1.0,0.8333333333333334,0.11764705882352941,4
41,1067660514,0.1,0.2,0.1,0.25,20,20,0,14,0,14,5,0,0.0,,0.7368421052631579,,4
