n_observations,noise_sd,missing_probability,interval_pattern,replicate,observed_n,theta_true,sigma_true,theta_naive,sigma_naive,theta_abs_error_naive,sigma_abs_error_naive,theta_bound_naive,sigma_bound_naive,fit_success_naive,theta_measurement_aware,sigma_measurement_aware,theta_abs_error_measurement_aware,sigma_abs_error_measurement_aware,theta_bound_measurement_aware,sigma_bound_measurement_aware,fit_success_measurement_aware,theta_estimate,theta_abs_error,sigma_estimate,sigma_abs_error,success,theta_squared_error_naive,theta_squared_error_measurement_aware,sigma_squared_error_naive,sigma_squared_error_measurement_aware
5,0.0,0.3,regular,4,4,0.8,0.25,11.87118877305546,1.617855797674859,11.07118877305546,1.367855797674859,False,False,True,11.87118877305546,1.617855797674859,11.07118877305546,1.367855797674859,False,False,True,11.87118877305546,11.07118877305546,1.617855797674859,1.367855797674859,True,122.57122084862924,122.57122084862924,1.871029483232725,1.871029483232725
5,0.0,0.3,regular,6,4,0.8,0.25,1.1145140994227796,0.2083437364966118,0.3145140994227795,0.0416562635033881,False,False,True,1.1145140994227796,0.2083437364966118,0.3145140994227795,0.0416562635033881,False,False,True,1.1145140994227796,0.3145140994227795,0.2083437364966118,0.0416562635033881,True,0.09891911873572204,0.09891911873572204,0.001735244289063711,0.001735244289063711
5,0.0,0.3,regular,8,4,0.8,0.25,16.545668341159057,0.5539164138041852,15.745668341159057,0.3039164138041852,False,False,True,16.545668341159057,0.5539164138041852,15.745668341159057,0.3039164138041852,False,False,True,16.545668341159057,15.745668341159057,0.5539164138041852,0.3039164138041852,True,247.9260715097786,247.9260715097786,0.09236518657959675,0.09236518657959675
5,0.0,0.3,regular,9,4,0.8,0.25,16.489202614660535,0.653174358412889,15.689202614660534,0.4031743584128889,False,False,True,16.489202614660535,0.653174358412889,15.689202614660534,0.4031743584128889,False,False,True,16.489202614660535,15.689202614660534,0.653174358412889,0.4031743584128889,True,246.15107868387094,246.15107868387094,0.16254956328164463,0.16254956328164463
5,0.0,0.3,irregular,0,5,0.8,0.25,19.999999999999996,0.5111970456247016,19.199999999999996,0.2611970456247016,True,False,True,19.999999999999996,0.5111970456247016,19.199999999999996,0.2611970456247016,True,False,True,19.999999999999996,19.199999999999996,0.5111970456247016,0.2611970456247016,True,368.6399999999998,368.6399999999998,0.06822389664307243,0.06822389664307243
5,0.0,0.3,irregular,1,5,0.8,0.25,1.1248407394284172,0.393219806677854,0.3248407394284172,0.143219806677854,False,False,True,1.1248407394284172,0.393219806677854,0.3248407394284172,0.143219806677854,False,False,True,1.1248407394284172,0.3248407394284172,0.393219806677854,0.143219806677854,True,0.10552150599240083,0.10552150599240083,0.020511913024841875,0.020511913024841875
5,0.0,0.3,irregular,2,5,0.8,0.25,0.8088005627229846,0.2527180806548368,0.0088005627229845,0.0027180806548368,False,False,True,0.8088005627229846,0.2527180806548368,0.0088005627229845,0.0027180806548368,False,False,True,0.8088005627229846,0.0088005627229845,0.2527180806548368,0.0027180806548368,True,7.744990424118564e-05,7.744990424118564e-05,7.3879624461980886e-06,7.3879624461980886e-06
5,0.0,0.3,irregular,3,4,0.8,0.25,19.999999999999996,0.2749870003371429,19.199999999999996,0.0249870003371429,True,False,True,19.999999999999996,0.2749870003371429,19.199999999999996,0.0249870003371429,True,False,True,19.999999999999996,19.199999999999996,0.2749870003371429,0.0249870003371429,True,368.6399999999998,368.6399999999998,0.0006243501858483797,0.0006243501858483797
5,0.0,0.3,irregular,4,5,0.8,0.25,19.999999999999996,0.6563810626246247,19.199999999999996,0.4063810626246247,True,False,True,19.999999999999996,0.6563810626246247,19.199999999999996,0.4063810626246247,True,False,True,19.999999999999996,19.199999999999996,0.6563810626246247,0.4063810626246247,True,368.6399999999998,368.6399999999998,0.16514556805991915,0.16514556805991915
5,0.0,0.3,irregular,6,4,0.8,0.25,17.747792937134395,1.126450979703922,16.947792937134395,0.8764509797039219,False,False,True,17.747792937134395,1.126450979703922,16.947792937134395,0.8764509797039219,False,False,True,17.747792937134395,16.947792937134395,1.126450979703922,0.8764509797039219,True,287.22768543998245,287.22768543998245,0.7681663198239645,0.7681663198239645
5,0.0,0.3,irregular,7,5,0.8,0.25,0.714455174039858,0.1704758310597257,0.085544825960142,0.0795241689402743,False,False,True,0.714455174039858,0.1704758310597257,0.085544825960142,0.0795241689402743,False,False,True,0.714455174039858,0.085544825960142,0.1704758310597257,0.0795241689402743,True,0.007317917248550986,0.007317917248550986,0.006324093445641289,0.006324093445641289
5,0.0,0.3,irregular,8,4,0.8,0.25,2.061002882348414,0.1320724374940544,1.261002882348414,0.1179275625059456,False,False,True,2.061002882348414,0.1320724374940544,1.261002882348414,0.1179275625059456,False,False,True,2.061002882348414,1.261002882348414,0.1320724374940544,0.1179275625059456,True,1.5901282692910081,1.5901282692910081,0.013906909998593708,0.013906909998593708
5,0.0,0.3,irregular,9,4,0.8,0.25,19.999999999999996,0.88871482929505,19.199999999999996,0.63871482929505,True,False,True,19.999999999999996,0.88871482929505,19.199999999999996,0.63871482929505,True,False,True,19.999999999999996,19.199999999999996,0.88871482929505,0.63871482929505,True,368.6399999999998,368.6399999999998,0.40795663316140485,0.40795663316140485
5,0.1,0.0,regular,0,5,0.8,0.25,1.1175118546895673,0.1590128863451977,0.3175118546895672,0.0909871136548022,False,False,True,1.117638596785192,0.0054565080571339,0.317638596785192,0.2445434919428661,False,False,True,1.1175118546895673,0.3175118546895672,0.1590128863451977,0.0909871136548022,True,0.10081377786840885,0.1008942781676658,0.008278654851231911,0.059801519451610614
