n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
20,0.25,0.3,irregular,10,15.3,16.387772131453822,11.557331682588856,4.830440448864966,2.194427342670871,0.6267093452219706,1.5677179974489004,0.7,0.3,0.39999999999999997,0.0,0.0,0.0,1.0,1.0
20,0.25,0.3,regular,10,14.6,4.505889844592986,4.447132772007311,0.05875707258567431,0.676893573670673,0.3238815342719299,0.35301203939874315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,0.5,0.0,irregular,10,20.0,18.633389438159924,16.288899154804994,2.3444902833549293,4.012029981261212,1.3575332649146907,2.654496716346521,0.9,0.7,0.20000000000000007,0.0,0.0,0.0,1.0,1.0
20,0.5,0.0,regular,10,20.0,16.448798070324287,16.461814844791,-0.013016774466713343,2.8355128189863055,1.2062277737324028,1.6292850452539027,0.6,0.7,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
20,0.5,0.1,irregular,10,18.2,17.07870026405961,15.52411612362491,1.5545841404346987,3.2192961915602094,1.113519129626573,2.1057770619336367,0.7,0.5,0.19999999999999996,0.0,0.0,0.0,1.0,1.0
20,0.5,0.1,regular,10,18.1,15.788013756220073,15.915838469678567,-0.12782471345849444,2.5228393082157923,0.6800692457855382,1.842770062430254,0.6,0.6,0.0,0.0,0.0,0.0,1.0,1.0
20,0.5,0.3,irregular,10,13.9,15.646209591729999,15.085133402681452,0.5610761890485474,2.9523766652142487,0.839328496511211,2.113048168703038,0.6,0.5,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
20,0.5,0.3,regular,10,13.1,16.774538834506284,17.183730718238433,-0.40919188373214865,2.2747677075667356,0.34392589894784986,1.9308418086188857,0.7,0.7,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.0,irregular,10,40.0,1.462187930198076,1.462187930198076,0.0,0.026209434666762486,0.026209434666762486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.0,regular,10,40.0,1.142401284406401,1.142401284406401,0.0,0.0448346759571236,0.0448346759571236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.1,irregular,10,36.1,3.1467864718057825,3.1467864718057825,0.0,0.04682720125061866,0.04682720125061866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.1,regular,10,36.4,1.0676515810133735,1.0676515810133735,0.0,0.02832588487764551,0.02832588487764551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.3,irregular,10,29.1,1.426581349400937,1.426581349400937,0.0,0.03223523284859729,0.03223523284859729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.0,0.3,regular,10,26.9,1.1824342308230056,1.1824342308230056,0.0,0.0402208350539424,0.0402208350539424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.1,0.0,irregular,10,40.0,15.931057007493377,8.24819194085345,7.682865066639927,1.0014742473934397,0.2689703607774653,0.7325038866159744,0.5,0.1,0.4,0.0,0.0,0.0,1.0,1.0
40,0.1,0.0,regular,10,40.0,3.122060360656878,3.1340101857964004,-0.011949825139522474,0.2351128961574037,0.13475087639571204,0.10036201976169165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.1,0.1,irregular,10,36.9,17.331678007299512,12.046934616638396,5.2847433906611165,1.3035461892692388,0.4025850781308024,0.9009611111384364,0.7,0.2,0.49999999999999994,0.0,0.0,0.0,1.0,1.0
40,0.1,0.1,regular,10,36.1,4.815194844816317,4.8021366991519185,0.01305814566439878,0.3186695486545983,0.17937768550444375,0.13929186315015454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.1,0.3,irregular,10,28.0,12.716247345943193,7.022189731667204,5.694057614275989,0.7892591410350541,0.14152224570483493,0.6477368953302192,0.3,0.1,0.19999999999999998,0.0,0.0,0.0,1.0,1.0
40,0.1,0.3,regular,10,27.8,9.086877294603303,8.974612675781895,0.11226461882140804,0.38169275488509946,0.24254681090001834,0.13914594398508112,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0
