branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.2,0.15,0.1,0.0,20,50,0.76,0.852,0.1199319534960877,0.32047541060868795,0.3984937954552345,0.04285714285714286
0.2,0.15,0.1,0.0,40,50,0.62,0.8545,0.13041241489667948,0.3097645633573861,0.41542942311516057,0.026515151515151512
0.2,0.15,0.1,0.1,20,50,0.64,0.7140000000000001,0.15420632878301296,0.07867865687297743,0.21657697483586785,0.11416638916638917
0.2,0.15,0.1,0.1,40,50,0.68,0.7475,0.15569544446955225,0.06289643819383384,0.1764062910207967,0.04573758896300166
0.2,0.15,0.1,0.25,20,50,0.86,0.615,0.12747548783981963,0.01651023839938553,0.055511198406063354,0.14479660124821414
0.2,0.15,0.1,0.25,40,50,0.74,0.6195,0.10180638887774444,0.01709550100622568,0.06654790939487037,0.06722070971753148
0.2,0.15,0.1,0.5,20,50,0.86,0.584,0.12265764533523243,0.018503162263067804,0.09712611437300323,0.1125940725940726
0.2,0.15,0.1,0.5,40,50,0.64,0.588,0.07877247006928453,0.008267141398168329,0.025764619650994205,0.03977185013590522
0.2,0.15,0.2,0.0,20,50,0.76,0.6809999999999999,0.20351252280578586,0.15957902091583911,0.33995273198416076,0.06873582766439909
0.2,0.15,0.2,0.0,40,50,0.98,0.6515000000000001,0.1892796494985283,0.11057397383597546,0.23893986231678235,0.07515432098765433
0.2,0.15,0.2,0.1,20,50,0.82,0.6629999999999999,0.19425682558333515,0.016282752692528553,0.0850909874696354,0.09697051919274141
0.2,0.15,0.2,0.1,40,50,0.64,0.708,0.17521415467935234,0.07395387156193345,0.1491499017846039,0.05503011481272351
0.2,0.15,0.2,0.25,20,50,0.78,0.604,0.12969351627304004,0.007368878615629357,0.056152759782814726,0.07525019783084298
0.2,0.15,0.2,0.25,40,50,0.78,0.6085,0.1250112239858845,0.022514857110009757,0.06356852516741054,0.05994125303005782
0.2,0.15,0.2,0.5,20,50,0.7,0.564,0.15018356115373055,0.026541171643999516,0.09860770919328225,0.1236702910615954
0.2,0.15,0.2,0.5,40,50,0.72,0.552,0.10664646917622309,-0.0007768058358225982,0.02793169488872219,0.0532386724294359
0.2,0.15,0.35,0.0,20,50,0.66,0.598,0.20577380091463818,0.03715200236251393,0.14675628317790024,0.06121212121212121
0.2,0.15,0.35,0.0,40,50,0.66,0.6585,0.16641554210187587,0.08972851730254568,0.209484112088177,0.04442857142857143
0.2,0.15,0.35,0.1,20,50,0.56,0.626,0.19903850514564322,0.03939440168651283,0.10583656942518438,0.12602767602767603
0.2,0.15,0.35,0.1,40,50,0.82,0.6305,0.18470122039750178,0.07930214387424435,0.19828630950577297,0.06526117930916692
0.2,0.15,0.35,0.25,20,50,0.62,0.551,0.1655202065474491,0.020189759613345938,0.07448253173994653,0.16295093795093793
0.2,0.15,0.35,0.25,40,50,0.74,0.5579999999999999,0.16845940587741434,0.020311219303620117,0.07457877947522079,0.06835523319189381
0.2,0.15,0.35,0.5,20,50,0.86,0.573,0.1302313483061304,0.024857726658066896,0.11682526988184298,0.15485424537148673
0.2,0.15,0.35,0.5,40,50,0.64,0.5760000000000001,0.13739188699572075,0.008471429652445584,0.06283726052286284,0.07208734150839413
0.2,0.35,0.1,0.0,20,50,1.52,0.757,0.18979312045337304,0.2758689064429623,0.3714886754415005,0.03935185185185185
0.2,0.35,0.1,0.0,40,50,1.94,0.6934999999999999,0.20452845218966978,0.19714739373461132,0.29063585367304345,0.0863499245852187
0.2,0.35,0.1,0.1,20,50,1.48,0.7090000000000001,0.13949252046366545,0.07056009146743704,0.1559253819867667,0.09123070661532201
0.2,0.35,0.1,0.1,40,50,1.76,0.6970000000000001,0.10887176504718656,0.10804103942238291,0.14366255783863352,0.09445614602161233
0.2,0.35,0.1,0.25,20,50,1.74,0.5710000000000001,0.110698155507005,0.013265274830915583,0.08818398063791581,0.17253960509774463
0.2,0.35,0.1,0.25,40,50,1.8,0.5855,0.0921802249810176,0.0035039195511961264,0.03413451888680016,0.09449243444132943
0.2,0.35,0.1,0.5,20,50,1.5,0.539,0.11261728580117925,0.00552277947539071,0.08749591974408659,0.1458544101401244
0.2,0.35,0.1,0.5,40,50,2.18,0.5435,0.07280985860585144,0.0034092590120845686,0.038533140068651134,0.10939837311086772
0.2,0.35,0.2,0.0,20,50,1.4,0.669,0.18319444336996865,0.14399329275649753,0.29165878886376934,0.12362232362232363
0.2,0.35,0.2,0.0,40,50,1.62,0.7090000000000001,0.1816000314663283,0.17507106992532603,0.277142776033586,0.08344448344448345
0.2,0.35,0.2,0.1,20,50,1.52,0.622,0.1750102037841549,0.03585033057275387,0.11520134388798171,0.11251896251896253
0.2,0.35,0.2,0.1,40,50,1.88,0.6135,0.17218656825000686,0.06211241244101075,0.09978443426623537,0.10000796279087681
0.2,0.35,0.2,0.25,20,50,1.32,0.603,0.14512837385555993,0.031087641737500976,0.10647456276087376,0.14465264893836322
0.2,0.35,0.2,0.25,40,50,1.54,0.578,0.12521817694222628,0.018439301406680306,0.06302820672724602,0.08220578409272405
0.2,0.35,0.2,0.5,20,50,1.78,0.551,0.11714721246258958,0.010135166039168742,0.0745848454495368,0.16043283105783107
0.2,0.35,0.2,0.5,40,50,1.6,0.5405,0.0856979151033514,0.00021575528084397707,0.04360445095523587,0.07060107852607832
0.2,0.35,0.35,0.0,20,50,1.42,0.611,0.18413892271093274,0.04956299105464985,0.14636757665526598,0.11856261022927689
0.2,0.35,0.35,0.0,40,50,1.64,0.6325,0.2006526341512534,0.09722935967239024,0.16014004621424183,0.07720484643561566
0.2,0.35,0.35,0.1,20,50,1.82,0.585,0.21765212835989411,0.08644318450087178,0.2084748141555652,0.14780333626487474
0.2,0.35,0.35,0.1,40,50,1.62,0.58,0.1951582298902036,0.0387775674129432,0.11986475707793885,0.10382964988228145
0.2,0.35,0.35,0.25,20,50,1.5,0.617,0.16086818028613184,0.06078260077691595,0.15388201160927334,0.13946295869372793
0.2,0.35,0.35,0.25,40,50,1.66,0.5765,0.1518936590956627,0.02548456620432642,0.0897154937793233,0.1117652633346658
0.2,0.35,0.35,0.5,20,50,1.3,0.5820000000000001,0.14454714646446815,0.023760334652875012,0.10591704728897536,0.13516298516298517
0.2,0.35,0.35,0.5,40,50,1.7,0.527,0.1011212648461323,0.0038214796869505143,0.047810121314988074,0.09762193355327406
0.2,0.7,0.1,0.0,20,50,2.82,0.723,0.14749956762302588,0.1229799494038053,0.22522750315223677,0.13285048285048284
0.2,0.7,0.1,0.0,40,50,2.92,0.7165,0.17206800387981394,0.17079541071637866,0.2729425008299408,0.08321597102084907
0.2,0.7,0.1,0.1,20,50,2.8,0.6709999999999999,0.14917801993810298,0.11339691760855192,0.20495886111736233,0.22836177428014162
0.2,0.7,0.1,0.1,40,50,3.18,0.6485,0.13338317520801277,0.0669396295925421,0.1366432010621918,0.1389167938486908
0.2,0.7,0.1,0.25,20,50,2.88,0.561,0.14152594050821454,0.013504527756055287,0.08962107140252089,0.24420761090063822
0.2,0.7,0.1,0.25,40,50,3.0,0.5870000000000001,0.08678497942075707,0.020844570434203194,0.05036890099602365,0.13290876263921556
0.2,0.7,0.1,0.5,20,50,2.68,0.525,0.11077187442336303,0.00180816978034246,0.0733233793595706,0.23513039668760635
0.2,0.7,0.1,0.5,40,50,3.1,0.5125,0.07973969129202181,-0.004000583028374363,0.02242347917956035,0.14951867038871233
0.2,0.7,0.2,0.0,20,50,2.96,0.648,0.1696214272178741,0.12357913391585436,0.21653936636197496,0.1616472899081595
