branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.5,0.7,0.35,0.25,20,50,2.86,0.616,0.128349013972664,0.03080384419701701,0.13703082517987178,0.21826883628354218
0.5,0.7,0.35,0.25,40,50,3.2,0.624,0.11638255006307292,0.05431036709812735,0.09472846306863966,0.11647635078007226
0.5,0.7,0.35,0.5,20,50,3.26,0.574,0.12463825206392702,0.014438322689992482,0.07757109880012733,0.2128305654040948
0.5,0.7,0.35,0.5,40,50,3.4,0.5855,0.10315062297634545,0.021652397898009698,0.07802973772493804,0.11487952833424632
1.0,0.05,0.1,0.0,20,50,0.22,0.972,0.05638786958854444,0.8574000165564373,0.2919088027799025,0.0
1.0,0.05,0.1,0.0,40,50,0.14,0.982,0.051020204081224506,0.917751677783441,0.24049561850571066,0.0
1.0,0.05,0.1,0.1,20,50,0.3,0.9590000000000001,0.08960798980411676,0.8655778617398192,0.28242078898735073,0.0
1.0,0.05,0.1,0.1,40,50,0.12,0.977,0.06345494947003658,0.9172331885624747,0.22937357714207915,0.0
1.0,0.05,0.1,0.25,20,50,0.28,0.9440000000000001,0.08785423920869598,0.6278464013753499,0.4476017094287156,0.022727272727272728
1.0,0.05,0.1,0.25,40,50,0.18,0.9495,0.05791663607888392,0.28875807076675797,0.42915774874862894,0.02857142857142857
1.0,0.05,0.1,0.5,20,50,0.28,0.8079999999999999,0.09222864223753698,0.02837906418693781,0.09225584914621111,0.06923076923076923
1.0,0.05,0.1,0.5,40,50,0.26,0.8195,0.0792647977557838,0.028417367305278208,0.08292024203976975,0.049305555555555554
1.0,0.05,0.2,0.0,20,50,0.16,0.985,0.040720550896397784,0.8976819824821789,0.27331678354917865,0.125
1.0,0.05,0.2,0.0,40,50,0.16,0.9754999999999999,0.06029053806022828,0.8540288554206014,0.32377055945957994,0.0
1.0,0.05,0.2,0.1,20,50,0.22,0.9690000000000001,0.076857939454183,0.8563862611575017,0.3130024817743903,0.0
1.0,0.05,0.2,0.1,40,50,0.14,0.976,0.05296321403404751,0.8094814549931533,0.3736035463075214,0.0
1.0,0.05,0.2,0.25,20,50,0.14,0.935,0.0876274581884664,0.4366023844920214,0.48032968651910907,0.07142857142857142
