panel,scenario,parameter,panel_title,symbol,replicate,truth,estimate,error,absolute_error,squared_error
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,39,0.8,0.9312771959228252,0.13127719592282516,0.13127719592282516,0.017233702169359825
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,40,0.8,1.199191474300462,0.39919147430046187,0.39919147430046187,0.1593538331541763
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,41,0.8,1.4797426944742806,0.6797426944742806,0.6797426944742806,0.4620501306911552
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,42,0.8,0.7500311226873708,-0.04996887731262922,0.04996887731262922,0.0024968886998845913
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,43,0.8,0.4951949913071903,-0.30480500869280974,0.30480500869280974,0.09290609332422382
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,44,0.8,1.132656370421034,0.3326563704210339,0.3326563704210339,0.11066026078169612
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,45,0.8,1.3442320491496589,0.5442320491496588,0.5442320491496588,0.2961885233216367
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,46,0.8,1.8390176159779117,1.0390176159779116,1.0390176159779116,1.079557606312423
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,47,0.8,1.5900413140967475,0.7900413140967475,0.7900413140967475,0.6241652779797157
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,48,0.8,1.0028037969382884,0.20280379693828832,0.20280379693828832,0.041129380052586484
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,49,0.8,0.4135299318769903,-0.38647006812300977,0.38647006812300977,0.1493591135550038
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,50,0.8,0.0886186234292951,-0.711381376570705,0.711381376570705,0.5060634629316312
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,51,0.8,0.6399055814571448,-0.16009441854285522,0.16009441854285522,0.025630222848574906
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,52,0.8,1.6042295401248374,0.8042295401248374,0.8042295401248374,0.6467851532094074
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,53,0.8,1.0501542091546685,0.25015420915466846,0.25015420915466846,0.06257712835779762
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,54,0.8,0.7428070939966229,-0.05719290600337712,0.05719290600337712,0.0032710284971111305
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,55,0.8,0.4626251032547003,-0.33737489674529975,0.33737489674529975,0.11382182095390167
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,56,0.8,2.450220462417557,1.650220462417557,1.650220462417557,2.7232275745816152
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,57,0.8,1.2808102548656868,0.48081025486568674,0.48081025486568674,0.23117850118400662
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,58,0.8,2.2367791039030123,1.4367791039030122,1.4367791039030122,2.0643341934123427
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,59,0.8,1.470071357197442,0.6700713571974419,0.6700713571974419,0.4489956237364218
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,60,0.8,1.2048775115621075,0.4048775115621075,0.4048775115621075,0.16392579936872448
