generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
Nonlinear,Intermediate,16,OULB,-11.996327327057065,-0.5215794490024811,0.45145329871520345,0.9130434782608695,-0.16376596663466847,
Nonlinear,Intermediate,17,OU+L,-12.853481628912503,-0.5588470273440219,0.4454269978423894,1.0,-0.2147411862668976,
Nonlinear,Intermediate,18,OU+B,-12.948166631718664,-0.5629637665964636,0.5061686610742038,0.9565217391304348,-0.07306945686005281,
Nonlinear,Intermediate,19,OU+B,-16.36500413893306,-0.711521919084046,0.5251717211602855,0.9565217391304348,-0.0653638731856968,
Nonlinear,Intermediate,20,OULB,-12.305755549750483,-0.5350328499891515,0.41814633114002997,0.9130434782608695,-0.3192058621755418,
Nonlinear,Intermediate,21,OULB,-5.751939644570626,-0.25008433237263594,0.32551368046803636,0.9565217391304348,-0.001973052676899811,
Nonlinear,Intermediate,22,OU+B,-12.86271361712092,-0.5592484181356923,0.415353272882402,0.9565217391304348,-0.21202222828495168,
Nonlinear,Intermediate,23,OULB,-13.85034996578463,-0.6021891289471578,0.5015309431515439,0.9130434782608695,-0.5009384826904848,
Nonlinear,Intermediate,24,OU+L,-20.6913492160436,-0.8996238789584174,0.5883479832199145,0.8695652173913043,-0.4053815135456349,
OU,Difficult,0,OU,-7.120255754708993,-0.6472959777008176,0.4661800339812908,1.0,-0.2532090839608437,1.0
OU,Difficult,1,OU+T,-8.235575076162691,-0.7486886432875174,0.5198829726172016,0.9090909090909091,-0.5676013395313717,0.0
OU,Difficult,2,OU+B,-7.70543673860224,-0.70049424896384,0.47676494657618634,1.0,-0.24796289548211017,0.0
OU,Difficult,3,OU+T,-4.10676529935583,-0.3733422999414391,0.2897655820413424,1.0,0.1016163966502798,0.0
OU,Difficult,4,OU+B,-13.319190413569206,-1.2108354921426552,0.6636196244119125,0.9090909090909091,-0.5721268837237032,0.0
OU,Difficult,5,OU+T,-5.714854418274311,-0.5195322198431191,0.3872410283951759,1.0,-0.5327545553741657,0.0
OU,Difficult,6,OU,-7.393873084938099,-0.6721702804489181,0.47464701777679513,1.0,-0.4397560689443617,1.0
OU,Difficult,7,OU,-5.636285300373511,-0.5123895727612283,0.38186235569741644,1.0,-0.3920935282852797,1.0
OU,Difficult,8,OU+T,-5.000473094597835,-0.4545884631452577,0.35754201425095045,1.0,-0.08234281537758772,0.0
OU,Difficult,9,OU+T,-3.647498190760387,-0.33159074461458066,0.2701827283087474,1.0,-0.15770866501733727,0.0
OU,Difficult,10,OU,-4.011912568828906,-0.36471932443899147,0.2512385276682774,1.0,-0.1783117482640735,1.0
OU,Difficult,11,OU,-6.511478552447418,-0.591952595677038,0.44419460368230523,1.0,-0.4759721482978877,1.0
OU,Difficult,12,OU,-7.118262841510573,-0.6471148037736885,0.46126733896466693,1.0,0.007017511864791384,1.0
OU,Difficult,13,OULB,-5.733927127384092,-0.5212661024894629,0.3735934702607625,1.0,-0.38763516464421305,0.0
