generator_family,replicate,fitted_model,fit_success,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1
OULB,22,OULB,True,-9.893898958109366,-0.4301695199177985,0.34463133202155566,0.8260869565217391,-0.5988406764537773
OULB,23,OU,True,0.0735837267530779,0.0031992924675251257,0.23376461844770405,0.9130434782608695,-0.4984383263024827
OULB,23,OULB,True,-0.5931426504976387,-0.025788810891201684,0.24031469093601943,0.9565217391304348,-0.4743997452069785
OULB,24,OU,True,-3.405999726938492,-0.14808694464949965,0.27668817135839446,0.9130434782608695,-0.1799229982462851
OULB,24,OULB,True,-3.4161871989478314,-0.14852987821512312,0.2767796363281497,0.9565217391304348,-0.16264793724794602
OULB,25,OU,True,-0.5860031311417585,-0.025478397006163413,0.25266805515087243,0.9565217391304348,-0.2606036085196932
OULB,25,OULB,True,-1.1475975365765916,-0.04989554506854746,0.25763739676863595,0.9565217391304348,-0.23640493670240728
OULB,26,OU,True,-0.9174508611366529,-0.03988916787550665,0.26076904939482265,0.9130434782608695,-0.3206737126342449
OULB,26,OULB,True,-1.430475751172102,-0.06219459787704791,0.2650168178915856,0.9130434782608695,-0.3253428390221338
OULB,27,OU,True,-6.198127489566165,-0.2694838038941811,0.3147874202134933,0.8695652173913043,-0.3748110088789683
OULB,27,OULB,True,-7.0409289059330264,-0.3061273437362185,0.3200435061644113,0.8695652173913043,-0.3700276246151514
OULB,28,OU,True,-4.300075602393075,-0.1869598087996989,0.28217998217286866,0.8695652173913043,-0.6504288707056314
OULB,28,OULB,True,-4.4137950317574415,-0.19190413181554095,0.2831085428345472,0.9130434782608695,-0.6523958934479999
OULB,29,OU,True,1.7006564518510239,0.073941584863088,0.22299126711859243,1.0,-0.4116412818737756
OULB,29,OULB,True,1.5371268071929636,0.06683160031273755,0.22430500629592692,1.0,-0.42823866880766964
Nonlinear,0,OU,True,-15.703545678503286,-0.6827628555870994,0.4985714226678614,0.9130434782608695,-0.09976428434678337
Nonlinear,0,OULB,True,-14.173399132396662,-0.6162347448868114,0.5040527750287243,0.9130434782608695,-0.15466964392801633
Nonlinear,1,OU,True,-10.3714233255843,-0.4509314489384478,0.3597918151685485,1.0,-0.28731207318940016
Nonlinear,1,OULB,True,-7.210541140839177,-0.31350178873213813,0.3346973139589948,1.0,-0.22318452405147704
Nonlinear,2,OU,True,-8.656593576206882,-0.3763736337481253,0.36228809762361297,1.0,-0.018897644559048302
Nonlinear,2,OULB,True,-6.994229258589434,-0.30409692428649715,0.33356139785021105,1.0,-0.0941610458156506
Nonlinear,3,OU,True,-13.1254508386174,-0.5706717755920608,0.44960866316470854,0.9130434782608695,0.13353225307597014
Nonlinear,3,OULB,True,-12.712583999953456,-0.5527210434762372,0.4751956310893002,0.8695652173913043,0.11633538346532617
Nonlinear,4,OU,True,-7.03276532343596,-0.30577240536678085,0.33810691811796934,1.0,0.008670401462506944
Nonlinear,4,OULB,True,-4.6890276896617475,-0.20387076911572816,0.28432546586701524,1.0,-0.2103715384660328
Nonlinear,5,OU,True,-14.178725891314127,-0.6164663431006142,0.4389378364400738,0.9565217391304348,-0.4338800664730879
Nonlinear,5,OULB,True,-10.229274427390097,-0.444751062060439,0.3634039972777462,0.9565217391304348,-0.40366667279592794
Nonlinear,6,OU,True,-12.094440340040569,-0.5258452321756769,0.48452138694141444,1.0,0.04135789343835193
Nonlinear,6,OULB,True,-9.923074359956326,-0.431438015650275,0.4561326461762454,1.0,0.041753529565059344
Nonlinear,7,OU,True,-17.360568308549684,-0.7548073177630298,0.5003149885163087,0.9130434782608695,-0.22296518973397528
Nonlinear,7,OULB,True,-12.637643351909519,-0.5494627544308487,0.442041129652791,0.9130434782608695,-0.277544118790866
Nonlinear,8,OU,True,-13.180376131172693,-0.5730598317901171,0.4847702577911478,1.0,-0.4684760802114626
Nonlinear,8,OULB,True,-10.147477433518393,-0.44119467102253884,0.4462063566131206,0.9565217391304348,-0.4032682520840888
