replicate,scenario,seed,time,latent_state,observed_state,branch_state,attractor
376,jump,1317184906,0.7777777777777777,0.038564607280073285,,0,-0.3395622360152768
376,jump,1317184906,0.8333333333333333,0.11191334196616029,,0,-0.3395622360152768
376,jump,1317184906,0.8888888888888888,0.11012636851379917,,0,-0.3395622360152768
376,jump,1317184906,0.9444444444444444,0.05900893484158274,,0,-0.3395622360152768
376,jump,1317184906,1.0,-0.042505599355114554,-0.015311871350266602,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.0,-0.3395622360152768,-0.3921616257789004,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.05555555555555555,-0.3271496969291359,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.1111111111111111,-0.3009002700787189,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.16666666666666666,-0.22423936111909998,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.2222222222222222,-0.11496044285156844,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.2777777777777778,-0.11120371597300466,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.3333333333333333,-0.012342903495716123,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.38888888888888884,0.04539586004732223,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.4444444444444444,0.11181829964695064,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.5,0.14523448819610774,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.5555555555555556,0.20391081508808911,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.611111111111111,0.1773711646361849,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.6666666666666666,0.13309619455007848,,1,0.3395622360152768
377,branch_reorganization,1540644823,0.7222222222222222,0.08403493982986224,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.7777777777777777,0.12674947256182187,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.8333333333333333,0.14016546704982177,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.8888888888888888,0.08272341296547618,,0,-0.3395622360152768
377,branch_reorganization,1540644823,0.9444444444444444,0.05525728007096681,,0,-0.3395622360152768
377,branch_reorganization,1540644823,1.0,-0.020999181330566483,0.007931986792408967,0,-0.3395622360152768
378,retention,1849619430,0.0,0.0,0.01831901973204622,0,-0.3395622360152768
378,retention,1849619430,0.05555555555555555,-0.06704654581702744,,0,-0.3395622360152768
378,retention,1849619430,0.1111111111111111,0.04029743460045544,,0,-0.3395622360152768
378,retention,1849619430,0.16666666666666666,0.025264642777861612,,0,-0.3395622360152768
378,retention,1849619430,0.2222222222222222,0.02171495381504586,,0,-0.3395622360152768
378,retention,1849619430,0.2777777777777778,0.033496865372750706,,0,-0.3395622360152768
378,retention,1849619430,0.3333333333333333,0.07283106081057958,,0,-0.3395622360152768
378,retention,1849619430,0.38888888888888884,0.1625168351825491,,0,-0.3395622360152768
378,retention,1849619430,0.4444444444444444,0.15224545046777313,,0,-0.3395622360152768
378,retention,1849619430,0.5,0.11477190995365082,,0,-0.3395622360152768
378,retention,1849619430,0.5555555555555556,0.11026514939547667,,0,-0.3395622360152768
378,retention,1849619430,0.611111111111111,0.0657815973493493,,0,-0.3395622360152768
378,retention,1849619430,0.6666666666666666,0.06454728279552951,,0,-0.3395622360152768
378,retention,1849619430,0.7222222222222222,0.0465407057001668,,0,-0.3395622360152768
378,retention,1849619430,0.7777777777777777,-0.011764021553724455,,0,-0.3395622360152768
