generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,0,47,6.8378222245660405,0.0,0.010063466367537228,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,48,6.8698037267959,0.0,-0.04725579943899797,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,49,6.953478925676747,0.0,-0.060838003233451156,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,50,6.9727665389576945,0.0,-0.08421059035904589,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,51,7.029355158101182,0.0,0.08167638137245302,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,52,7.275866225405226,0.0,-0.06467659216704118,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,53,8.104664494789265,0.0,0.12423678049023322,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,54,8.163593466869427,0.0,-0.04908625866108396,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,55,8.318941669152943,0.0,-0.04336004669324456,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,56,9.22771606837366,0.0,-0.07513862394763814,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,57,9.48477632149434,0.0,-0.038757162593579586,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,58,9.784075931272305,0.0,-0.07687311863043636,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,0,59,10.0,0.025264412253226384,-0.034698688726302954,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,0,0.0,0.07479501140739615,0.00775812157904833,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,1,0.13940196787607162,0.0,0.04084961987107895,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,2,0.18836537031655554,0.0,0.0342183384477391,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,3,0.3140428126825634,0.0,-0.002970742162761284,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,4,0.3585308949293686,0.0,0.017205261386045705,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,5,1.1792026191737393,0.0,-0.043018142416950775,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,6,1.205825222839898,0.0,0.02988577496080874,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,7,1.371125084688698,0.0,-0.026147518579649334,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,8,1.5713055959073197,0.0,-0.017901553260511117,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,9,1.5843107035033799,0.0,-0.003982563190727648,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
