scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
brownian,60,drift,0.15,0.13822571904717035,-0.011774280952829647,0.011774280952829647,0.00013863369195616702
brownian,60,sigma,0.3,0.29778323981674415,-0.0022167601832558392,0.0022167601832558392,4.914025710068462e-06
ou,60,theta,0.8,1.2048775115621075,0.4048775115621075,0.4048775115621075,0.16392579936872448
ou,60,mu,0.2,0.09289450062039994,-0.10710549937960007,0.10710549937960007,0.01147158799735351
ou,60,sigma,0.25,0.20974991753864441,-0.040250082461355585,0.040250082461355585,0.0016200691381459244
shifted_ou,60,theta,0.7,4.472410498846735,3.7724104988467344,3.7724104988467344,14.231080971809067
shifted_ou,60,mu0,0.1,0.06301715117358535,-0.03698284882641466,0.03698284882641466,0.00136773110731744
shifted_ou,60,delta,0.6,0.23572824640942378,-0.3642717535905762,0.3642717535905762,0.13269391046395346
shifted_ou,60,sigma,0.2,0.24129769795356493,0.041297697953564916,0.041297697953564916,0.0017054998562638798
brownian,61,drift,0.15,0.4039329789706215,0.2539329789706215,0.2539329789706215,0.0644819578088941
brownian,61,sigma,0.3,0.2029737575287085,-0.09702624247129149,0.09702624247129149,0.009414091728097849
ou,61,theta,0.8,0.6713704150068763,-0.1286295849931237,0.1286295849931237,0.016545570135503236
ou,61,mu,0.2,0.16679285455925527,-0.03320714544074474,0.03320714544074474,0.0011027145083227741
ou,61,sigma,0.25,0.23833296718447328,-0.011667032815526723,0.011667032815526723,0.00013611965471857742
shifted_ou,61,theta,0.7,1.3248751861464216,0.6248751861464217,0.6248751861464217,0.39046899826152515
shifted_ou,61,mu0,0.1,0.05051578836998845,-0.04948421163001156,0.04948421163001156,0.002448687200643771
shifted_ou,61,delta,0.6,0.5336945898824556,-0.06630541011754443,0.06630541011754443,0.004396407410855763
shifted_ou,61,sigma,0.2,0.2286796923012925,0.028679692301292498,0.028679692301292498,0.0008225247504968161
brownian,62,drift,0.15,0.04544313594891816,-0.10455686405108183,0.10455686405108183,0.010932137820196409
brownian,62,sigma,0.3,0.2976947119703025,-0.002305288029697483,0.002305288029697483,5.3143528998665035e-06
ou,62,theta,0.8,0.4901194158617,-0.30988058413830005,0.30988058413830005,0.09602597642589406
ou,62,mu,0.2,0.1208572136539513,-0.07914278634604871,0.07914278634604871,0.006263580630616314
ou,62,sigma,0.25,0.24266157814441888,-0.007338421855581118,0.007338421855581118,5.385243533047061e-05
shifted_ou,62,theta,0.7,0.9626204972638689,0.26262049726386894,0.26262049726386894,0.06896952558312179
shifted_ou,62,mu0,0.1,0.32522715418447123,0.22522715418447123,0.22522715418447123,0.050727270982035576
shifted_ou,62,delta,0.6,0.5170691287893476,-0.08293087121065235,0.08293087121065235,0.006877529399757806
shifted_ou,62,sigma,0.2,0.174723012517289,-0.02527698748271101,0.02527698748271101,0.0006389260962011291
brownian,63,drift,0.15,-0.0586729582949944,-0.20867295829499438,0.20867295829499438,0.04354440352358446
brownian,63,sigma,0.3,0.26127957499396676,-0.03872042500603323,0.03872042500603323,0.0014992713126478435
ou,63,theta,0.8,1.0490854151768294,0.24908541517682936,0.24908541517682936,0.06204354405381345
ou,63,mu,0.2,0.10054023838107869,-0.09945976161892132,0.09945976161892132,0.009892244181292656
ou,63,sigma,0.25,0.21049422556154632,-0.039505774438453684,0.039505774438453684,0.0015607062139819804
shifted_ou,63,theta,0.7,1.7458780291496767,1.0458780291496768,1.0458780291496768,1.0938608518580122
shifted_ou,63,mu0,0.1,0.20801405322737856,0.10801405322737856,0.10801405322737856,0.011667035694606968
shifted_ou,63,delta,0.6,0.5159608620861437,-0.08403913791385631,0.08403913791385631,0.007062576701304161
shifted_ou,63,sigma,0.2,0.21711963218185018,0.01711963218185017,0.01711963218185017,0.00029308180604184
brownian,64,drift,0.15,0.09545223550814193,-0.05454776449185807,0.05454776449185807,0.0029754586110592117
brownian,64,sigma,0.3,0.2790765861995312,-0.020923413800468804,0.020923413800468804,0.0004377892450656484
ou,64,theta,0.8,1.4724217975401412,0.6724217975401412,0.6724217975401412,0.4521510738071146
ou,64,mu,0.2,0.26818713882236667,0.06818713882236666,0.06818713882236666,0.004649485900780702
ou,64,sigma,0.25,0.28818667884009275,0.03818667884009275,0.03818667884009275,0.001458222440836387
shifted_ou,64,theta,0.7,1.7477896452246315,1.0477896452246316,1.0477896452246316,1.0978631406399593
shifted_ou,64,mu0,0.1,0.18203277821036745,0.08203277821036745,0.08203277821036745,0.006729376700911336
shifted_ou,64,delta,0.6,0.48660819180505444,-0.11339180819494554,0.11339180819494554,0.012857702165719319
shifted_ou,64,sigma,0.2,0.1934835843686619,-0.006516415631338118,0.006516415631338118,4.246367268034777e-05
brownian,65,drift,0.15,0.22833142257905212,0.07833142257905212,0.07833142257905212,0.006135811763258037
brownian,65,sigma,0.3,0.27408134027816944,-0.02591865972183055,0.02591865972183055,0.0006717769217760413
ou,65,theta,0.8,1.696194816508836,0.896194816508836,0.896194816508836,0.8031651491373063
ou,65,mu,0.2,0.275153897209669,0.07515389720966897,0.07515389720966897,0.00564810826580149
ou,65,sigma,0.25,0.2823188923005503,0.032318892300550295,0.032318892300550295,0.0010445107995345692
shifted_ou,65,theta,0.7,1.1260369310460063,0.4260369310460064,0.4260369310460064,0.1815074666150996
shifted_ou,65,mu0,0.1,-0.0702811314789814,-0.1702811314789814,0.1702811314789814,0.028995663737762155
shifted_ou,65,delta,0.6,0.4163733798767056,-0.1836266201232944,0.1836266201232944,0.033718735617904665
shifted_ou,65,sigma,0.2,0.2369219482729539,0.03692194827295389,0.03692194827295389,0.0013632302642706828
brownian,66,drift,0.15,-0.015683409263829728,-0.1656834092638297,0.1656834092638297,0.027450992105285694
brownian,66,sigma,0.3,0.3096888977587012,0.009688897758701187,0.009688897758701187,9.387473977856488e-05
ou,66,theta,0.8,2.0302680876111956,1.2302680876111955,1.2302680876111955,1.5135595673945084
ou,66,mu,0.2,0.24878594023782843,0.048785940237828423,0.048785940237828423,0.0023800679648889665
ou,66,sigma,0.25,0.2943593832467783,0.044359383246778294,0.044359383246778294,0.0019677548820345547
shifted_ou,66,theta,0.7,0.22577317175845532,-0.4742268282415446,0.4742268282415446,0.22489108462403545
shifted_ou,66,mu0,0.1,-0.0749685935760044,-0.17496859357600442,0.17496859357600442,0.030614008737965014
shifted_ou,66,delta,0.6,2.043271406441222,1.4432714064412218,1.4432714064412218,2.0830323526508225
shifted_ou,66,sigma,0.2,0.13911745606464604,-0.06088254393535397,0.06088254393535397,0.0037066841560403066
brownian,67,drift,0.15,-0.009033542206204325,-0.15903354220620433,0.15903354220620433,0.025291667546652574
brownian,67,sigma,0.3,0.290164103341147,-0.009835896658852983,0.009835896658852983,9.674486308363528e-05
ou,67,theta,0.8,0.56751353767071,-0.23248646232929004,0.23248646232929004,0.0540499551663884
ou,67,mu,0.2,0.27817403541889335,0.07817403541889334,0.07817403541889334,0.0061111798136743905
ou,67,sigma,0.25,0.17020078091772015,-0.07979921908227985,0.07979921908227985,0.006367915366141697
shifted_ou,67,theta,0.7,0.9019842859674972,0.2019842859674973,0.2019842859674973,0.040797651777799725
shifted_ou,67,mu0,0.1,0.0025247232818813078,-0.0974752767181187,0.0974752767181187,0.009501429571273813
shifted_ou,67,delta,0.6,0.8627212407914958,0.26272124079149584,0.26272124079149584,0.06902245036302314
shifted_ou,67,sigma,0.2,0.16189989823977435,-0.03810010176022566,0.03810010176022566,0.0014516177541395502
brownian,68,drift,0.15,0.04461439053100491,-0.10538560946899508,0.10538560946899508,0.011106126683151547
brownian,68,sigma,0.3,0.25206531597707904,-0.04793468402292095,0.04793468402292095,0.0022977339323772728
ou,68,theta,0.8,2.093557964935227,1.293557964935227,1.293557964935227,1.6732922086473656
ou,68,mu,0.2,0.2724746905320089,0.07247469053200889,0.07247469053200889,0.005252580767710459
ou,68,sigma,0.25,0.2688907860084547,0.018890786008454674,0.018890786008454674,0.0003568617960172269
shifted_ou,68,theta,0.7,0.6396400718291264,-0.060359928170873545,0.060359928170873545,0.0036433209287930137
shifted_ou,68,mu0,0.1,-0.035478676826120756,-0.13547867682612075,0.13547867682612075,0.018354471874556466
shifted_ou,68,delta,0.6,0.843398913194737,0.24339891319473705,0.24339891319473705,0.059243030944379146
shifted_ou,68,sigma,0.2,0.15173419160826115,-0.04826580839173886,0.04826580839173886,0.002329588259708049
brownian,69,drift,0.15,0.11745335095027014,-0.032546649049729856,0.032546649049729856,0.0010592843643662813
brownian,69,sigma,0.3,0.3232426691839866,0.023242669183986597,0.023242669183986597,0.0005402216707962402
ou,69,theta,0.8,1.5971890912606785,0.7971890912606785,0.7971890912606785,0.6355104472250264
ou,69,mu,0.2,0.359090569003331,0.15909056900333096,0.15909056900333096,0.02530980914580361
ou,69,sigma,0.25,0.27601821518371633,0.02601821518371633,0.02601821518371633,0.0006769475213461671
shifted_ou,69,theta,0.7,1.3157433246184622,0.6157433246184623,0.6157433246184623,0.379139841812197
shifted_ou,69,mu0,0.1,0.0064233602085606205,-0.09357663979143939,0.09357663979143939,0.008756587514656798
shifted_ou,69,delta,0.6,0.4674070586670611,-0.13259294133293886,0.13259294133293886,0.017580888091320166
shifted_ou,69,sigma,0.2,0.20004312605075508,4.3126050755071255e-05,4.3126050755071255e-05,1.859856253728982e-09
brownian,70,drift,0.15,0.3454928544400306,0.1954928544400306,0.1954928544400306,0.038217456137110986
brownian,70,sigma,0.3,0.3128279248913634,0.012827924891363418,0.012827924891363418,0.00016455565701846116
ou,70,theta,0.8,1.0043450049530673,0.2043450049530673,0.2043450049530673,0.04175688104926909
ou,70,mu,0.2,0.03470536994175707,-0.16529463005824294,0.16529463005824294,0.02732231472609139
ou,70,sigma,0.25,0.24075725118022123,-0.009242748819778768,0.009242748819778768,8.54284057455218e-05
shifted_ou,70,theta,0.7,1.051216983969385,0.35121698396938505,0.35121698396938505,0.12335336982855127
shifted_ou,70,mu0,0.1,0.1417287728684461,0.04172877286844609,0.04172877286844609,0.0017412904851063626
shifted_ou,70,delta,0.6,0.5476405340303743,-0.05235946596962571,0.05235946596962571,0.0027415136766243925
shifted_ou,70,sigma,0.2,0.2590804821878282,0.05908048218782819,0.05908048218782819,0.0034905033755462836
brownian,71,drift,0.15,-0.004326526413176087,-0.15432652641317607,0.15432652641317607,0.02381667675475673
brownian,71,sigma,0.3,0.21888395706764394,-0.08111604293235605,0.08111604293235605,0.006579812421003831
ou,71,theta,0.8,0.3374062021170518,-0.46259379788294824,0.46259379788294824,0.21399302183976998
ou,71,mu,0.2,0.07133242841571742,-0.1286675715842826,0.1286675715842826,0.016555343977396487
ou,71,sigma,0.25,0.18541672577254625,-0.06458327422745375,0.06458327422745375,0.004170999309938491
shifted_ou,71,theta,0.7,3.048439912974742,2.348439912974742,2.348439912974742,5.5151700248528135
shifted_ou,71,mu0,0.1,0.03977751980464619,-0.06022248019535382,0.06022248019535382,0.003626747120879783
shifted_ou,71,delta,0.6,0.3295790573939216,-0.27042094260607835,0.27042094260607835,0.07312748619995992
shifted_ou,71,sigma,0.2,0.17010042887899152,-0.029899571121008495,0.029899571121008495,0.0008939843532202452
brownian,72,drift,0.15,0.22416754447909182,0.07416754447909182,0.07416754447909182,0.005500824654058064
brownian,72,sigma,0.3,0.33460731017120793,0.03460731017120794,0.03460731017120794,0.0011976659172861924
ou,72,theta,0.8,0.9156136773198325,0.11561367731983241,0.11561367731983241,0.01336652238341433
ou,72,mu,0.2,0.18244797405992166,-0.017552025940078347,0.017552025940078347,0.00030807361460118317
ou,72,sigma,0.25,0.21420091007492204,-0.035799089925077965,0.035799089925077965,0.0012815748394638187
shifted_ou,72,theta,0.7,1.450217741873988,0.7502177418739882,0.7502177418739882,0.5628266602225059
shifted_ou,72,mu0,0.1,0.25293569642129404,0.15293569642129404,0.15293569642129404,0.023389327239866208
shifted_ou,72,delta,0.6,0.18186464978929917,-0.4181353502107008,0.4181353502107008,0.17483717109582542
shifted_ou,72,sigma,0.2,0.21320835042333378,0.013208350423333765,0.013208350423333765,0.00017446052090558124
brownian,73,drift,0.15,0.16604439961333625,0.016044399613336258,0.016044399613336258,0.00025742275895242466
brownian,73,sigma,0.3,0.24497605163054123,-0.05502394836945876,0.05502394836945876,0.003027634894164863
ou,73,theta,0.8,0.880736306746218,0.0807363067462179,0.0807363067462179,0.00651835122701939
ou,73,mu,0.2,0.3941395128464472,0.1941395128464472,0.1941395128464472,0.03769015044825584
ou,73,sigma,0.25,0.22516558720792204,-0.02483441279207796,0.02483441279207796,0.0006167480587273254
shifted_ou,73,theta,0.7,0.2537915674077526,-0.44620843259224735,0.44620843259224735,0.19910196531643015
shifted_ou,73,mu0,0.1,0.11778577743729923,0.017785777437299227,0.017785777437299227,0.00031633387904914226
shifted_ou,73,delta,0.6,1.3146048982582963,0.7146048982582963,0.7146048982582963,0.5106601606147501
shifted_ou,73,sigma,0.2,0.13026926795580338,-0.06973073204419664,0.06973073204419664,0.0048623749914195515
brownian,74,drift,0.15,-0.06750976044296028,-0.21750976044296028,0.21750976044296028,0.04731049588795397
brownian,74,sigma,0.3,0.20071668499467116,-0.09928331500532883,0.09928331500532883,0.009857176638447353
ou,74,theta,0.8,1.1649086282891146,0.3649086282891145,0.3649086282891145,0.13315830699984316
ou,74,mu,0.2,0.048425813265270165,-0.15157418673472983,0.15157418673472983,0.02297473408429475
ou,74,sigma,0.25,0.30564351367300646,0.05564351367300646,0.05564351367300646,0.0030962006138780572
shifted_ou,74,theta,0.7,0.5662000666154183,-0.13379993338458163,0.13379993338458163,0.017902422173718482
shifted_ou,74,mu0,0.1,0.1001219364427734,0.00012193644277339044,0.00012193644277339044,1.4868496076228322e-08
shifted_ou,74,delta,0.6,0.7669456632229421,0.16694566322294213,0.16694566322294213,0.027870854468948013
shifted_ou,74,sigma,0.2,0.15082628302511414,-0.04917371697488587,0.04917371697488587,0.002418054441126179
brownian,75,drift,0.15,0.1563134879956528,0.006313487995652817,0.006313487995652817,3.986013067125222e-05
brownian,75,sigma,0.3,0.324158304544106,0.024158304544106002,0.024158304544106002,0.0005836236784457727
ou,75,theta,0.8,1.4418462529860108,0.6418462529860107,0.6418462529860107,0.4119666124721821
ou,75,mu,0.2,0.3703304614476554,0.1703304614476554,0.1703304614476554,0.029012466096971223
ou,75,sigma,0.25,0.26355246115821823,0.013552461158218232,0.013552461158218232,0.00018366920344501387
shifted_ou,75,theta,0.7,0.9308290557930451,0.23082905579304513,0.23082905579304513,0.053282052998308745
shifted_ou,75,mu0,0.1,-0.023842723712301884,-0.12384272371230189,0.12384272371230189,0.015337020216481539
shifted_ou,75,delta,0.6,0.6930335860145954,0.09303358601459544,0.09303358601459544,0.008655248126735128
shifted_ou,75,sigma,0.2,0.17117784560765292,-0.028822154392347088,0.028822154392347088,0.0008307165838162925
brownian,76,drift,0.15,0.2307506040677482,0.0807506040677482,0.0807506040677482,0.006520660057306232
brownian,76,sigma,0.3,0.36879323206562425,0.06879323206562427,0.06879323206562427,0.004732508778034834
ou,76,theta,0.8,1.1182236401826664,0.31822364018266636,0.31822364018266636,0.10126628517110711
ou,76,mu,0.2,0.4624273964031055,0.2624273964031055,0.2624273964031055,0.06886813838291266
ou,76,sigma,0.25,0.2341684502219026,-0.015831549778097392,0.015831549778097392,0.0002506379683763756
shifted_ou,76,theta,0.7,0.8605502703704598,0.16055027037045988,0.16055027037045988,0.025776389316027767
shifted_ou,76,mu0,0.1,0.15284947197903265,0.05284947197903264,0.05284947197903264,0.0027930666884625564
shifted_ou,76,delta,0.6,0.7355676321446617,0.13556763214466172,0.13556763214466172,0.01837858288531032
shifted_ou,76,sigma,0.2,0.20718236435462495,0.007182364354624937,0.007182364354624937,5.158635772258689e-05
brownian,77,drift,0.15,0.31875057551509145,0.16875057551509146,0.16875057551509146,0.028476756736674585
brownian,77,sigma,0.3,0.23071873561664985,-0.06928126438335014,0.06928126438335014,0.00479989359455566
ou,77,theta,0.8,1.4348760463929653,0.6348760463929652,0.6348760463929652,0.40306759428356254
ou,77,mu,0.2,0.3020295147474998,0.10202951474749977,0.10202951474749977,0.010410021879610274
ou,77,sigma,0.25,0.28800659323632727,0.03800659323632727,0.03800659323632727,0.0014445011294316377
shifted_ou,77,theta,0.7,0.39569105967310386,-0.3043089403268961,0.3043089403268961,0.0926039311628784
shifted_ou,77,mu0,0.1,0.13034427987618408,0.03034427987618407,0.03034427987618407,0.0009207753212041896
shifted_ou,77,delta,0.6,1.2969303548723574,0.6969303548723574,0.6969303548723574,0.4857119195425101
shifted_ou,77,sigma,0.2,0.16979881282980697,-0.030201187170193045,0.030201187170193045,0.0009121117064890329
brownian,78,drift,0.15,0.12541097998989142,-0.02458902001010857,0.02458902001010857,0.0006046199050575196
brownian,78,sigma,0.3,0.2531784136903734,-0.04682158630962657,0.04682158630962657,0.0021922609445498105
ou,78,theta,0.8,0.9932662863816469,0.1932662863816469,0.1932662863816469,0.03735185745175275
ou,78,mu,0.2,0.07485978225046772,-0.1251402177495323,0.1251402177495323,0.015660074098400357
ou,78,sigma,0.25,0.25205305171555936,0.002053051715559362,0.002053051715559362,4.215021346761239e-06
shifted_ou,78,theta,0.7,1.215961316064736,0.515961316064736,0.515961316064736,0.26621607967525446
shifted_ou,78,mu0,0.1,-0.008447234258802894,-0.1084472342588029,0.1084472342588029,0.011760802618383673
shifted_ou,78,delta,0.6,0.5415531976460931,-0.05844680235390687,0.05844680235390687,0.0034160287053966536
shifted_ou,78,sigma,0.2,0.22829873057482464,0.028298730574824627,0.028298730574824627,0.0008008181521465142
brownian,79,drift,0.15,-0.024111748843385565,-0.17411174884338557,0.17411174884338557,0.030314901085302177
brownian,79,sigma,0.3,0.20260098564309736,-0.09739901435690262,0.09739901435690262,0.009486567997696123
ou,79,theta,0.8,0.9594078303525101,0.15940783035251005,0.15940783035251005,0.025410856377694625
ou,79,mu,0.2,-0.1039031809408876,-0.30390318094088764,0.30390318094088764,0.0923571433859899
ou,79,sigma,0.25,0.19932652868786654,-0.050673471312133456,0.050673471312133456,0.0025678006948216124
shifted_ou,79,theta,0.7,1.0295564864509854,0.32955648645098545,0.32955648645098545,0.10860747776191856
shifted_ou,79,mu0,0.1,0.1497744423514506,0.04977444235145059,0.04977444235145059,0.0024774951113978785
shifted_ou,79,delta,0.6,0.4716186022630917,-0.12838139773690826,0.12838139773690826,0.016481783284882236
shifted_ou,79,sigma,0.2,0.1492790780250165,-0.05072092197498351,0.05072092197498351,0.0025726119259923655
brownian,80,drift,0.15,0.30500979908827114,0.15500979908827114,0.15500979908827114,0.024028037813386187
brownian,80,sigma,0.3,0.3072642196109662,0.007264219610966238,0.007264219610966238,5.2768886556346484e-05
ou,80,theta,0.8,0.3306859429874722,-0.4693140570125278,0.4693140570125278,0.2202556841095582
ou,80,mu,0.2,-0.06596319386170735,-0.26596319386170736,0.26596319386170736,0.07073642048912013
ou,80,sigma,0.25,0.1787992869887699,-0.0712007130112301,0.0712007130112301,0.005069541533307551
shifted_ou,80,theta,0.7,1.5156744049384934,0.8156744049384934,0.8156744049384934,0.6653247348717654
shifted_ou,80,mu0,0.1,0.2568409989060717,0.1568409989060717,0.1568409989060717,0.024599098937854384
shifted_ou,80,delta,0.6,0.3400467766648814,-0.25995322333511856,0.25995322333511856,0.06757567832231802
shifted_ou,80,sigma,0.2,0.1979964704728925,-0.0020035295271075004,0.0020035295271075004,4.014130565991605e-06
brownian,81,drift,0.15,0.15487800753421402,0.004878007534214024,0.004878007534214024,2.379495750384878e-05
brownian,81,sigma,0.3,0.2568964822319895,-0.04310351776801047,0.04310351776801047,0.0018579132439771942
ou,81,theta,0.8,1.5913003603098306,0.7913003603098305,0.7913003603098305,0.6261562602264676
ou,81,mu,0.2,0.27013600051567366,0.07013600051567365,0.07013600051567365,0.004919058568334574
ou,81,sigma,0.25,0.30266347178899705,0.05266347178899705,0.05266347178899705,0.002773441260870488
shifted_ou,81,theta,0.7,0.28661194211181645,-0.4133880578881835,0.4133880578881835,0.17088968640456415
shifted_ou,81,mu0,0.1,-0.320630742051496,-0.420630742051496,0.420630742051496,0.17693022115879214
shifted_ou,81,delta,0.6,2.2896539357458754,1.6896539357458753,1.6896539357458753,2.8549304225815266
shifted_ou,81,sigma,0.2,0.14161554019300707,-0.058384459806992944,0.058384459806992944,0.003408745146954375
brownian,82,drift,0.15,0.21524328305908216,0.06524328305908217,0.06524328305908217,0.0042566859843275184
brownian,82,sigma,0.3,0.27481537838559456,-0.025184621614405434,0.025184621614405434,0.0006342651658607773
ou,82,theta,0.8,0.5642230907617698,-0.23577690923823025,0.23577690923823025,0.05559075092993267
ou,82,mu,0.2,0.10365601716701336,-0.09634398283298665,0.09634398283298665,0.009282163028122827
ou,82,sigma,0.25,0.20488418838480157,-0.045115811615198426,0.045115811615198426,0.0020354364576980733
shifted_ou,82,theta,0.7,2.579528925765252,1.8795289257652519,1.8795289257652519,3.5326289827882817
shifted_ou,82,mu0,0.1,0.23026224863412015,0.13026224863412014,0.13026224863412014,0.016968253419217334
shifted_ou,82,delta,0.6,0.04901465751611675,-0.5509853424838832,0.5509853424838832,0.30358484763208204
shifted_ou,82,sigma,0.2,0.19866979273793747,-0.0013302072620625383,0.0013302072620625383,1.7694513600439143e-06
brownian,83,drift,0.15,0.11970390795621733,-0.03029609204378267,0.03029609204378267,0.0009178531931253515
brownian,83,sigma,0.3,0.20175889365275662,-0.09824110634724337,0.09824110634724337,0.00965131497633038
ou,83,theta,0.8,0.9550912830002273,0.15509128300022723,0.15509128300022723,0.02405330606265657
ou,83,mu,0.2,0.24600892214338638,0.046008922143386366,0.046008922143386366,0.002116820916796188
ou,83,sigma,0.25,0.2722705800821032,0.022270580082103197,0.022270580082103197,0.0004959787371933717
shifted_ou,83,theta,0.7,1.691762259914094,0.9917622599140941,0.9917622599140941,0.983592380189911
shifted_ou,83,mu0,0.1,0.27403826023953887,0.17403826023953886,0.17403826023953886,0.030289316027205453
shifted_ou,83,delta,0.6,0.20786841746194756,-0.3921315825380524,0.3921315825380524,0.1537671780237974
shifted_ou,83,sigma,0.2,0.24853506487222415,0.04853506487222414,0.04853506487222414,0.0023556525221510058
brownian,84,drift,0.15,0.22681414411332654,0.07681414411332654,0.07681414411332654,0.005900412735862899
brownian,84,sigma,0.3,0.2748665640494746,-0.025133435950525362,0.025133435950525362,0.0006316896026791608
ou,84,theta,0.8,1.0368407611218724,0.23684076112187236,0.23684076112187236,0.0560935461287878
ou,84,mu,0.2,0.1792396025574548,-0.02076039744254521,0.02076039744254521,0.00043099410197243763
ou,84,sigma,0.25,0.229147367430894,-0.020852632569105994,0.020852632569105994,0.0004348322850621401
shifted_ou,84,theta,0.7,0.7645487256609583,0.06454872566095837,0.06454872566095837,0.004166537984453666
shifted_ou,84,mu0,0.1,0.12854493076607054,0.028544930766070536,0.028544930766070536,0.0008148130724397603
shifted_ou,84,delta,0.6,0.7476757772485503,0.1476757772485503,0.1476757772485503,0.021808135185963445
shifted_ou,84,sigma,0.2,0.16667033105060308,-0.03332966894939693,0.03332966894939693,0.0011108668322763937
brownian,85,drift,0.15,0.06348454926518342,-0.08651545073481658,0.08651545073481658,0.007484923215848474
brownian,85,sigma,0.3,0.28779252391821647,-0.01220747608178352,0.01220747608178352,0.00014902247228731671
ou,85,theta,0.8,1.0018365601722927,0.20183656017229268,0.20183656017229268,0.040737997022183524
ou,85,mu,0.2,0.09684434711598518,-0.10315565288401483,0.10315565288401483,0.010641088721927358
ou,85,sigma,0.25,0.21182005066417717,-0.03817994933582283,0.03817994933582283,0.0014577085312859983
shifted_ou,85,theta,0.7,2.05282732446204,1.3528273244620401,1.3528273244620401,1.830141769811122
shifted_ou,85,mu0,0.1,0.06577063713516802,-0.03422936286483198,0.03422936286483198,0.0011716492821323388
shifted_ou,85,delta,0.6,0.5537476665121344,-0.046252333487865616,0.046252333487865616,0.002139278353072735
shifted_ou,85,sigma,0.2,0.21985399912701092,0.019853999127010913,0.019853999127010913,0.0003941812813353501
brownian,86,drift,0.15,0.34474644610229743,0.19474644610229744,0.19474644610229744,0.037926178269475044
brownian,86,sigma,0.3,0.29077063978957546,-0.009229360210424531,0.009229360210424531,8.518108989376754e-05
ou,86,theta,0.8,1.20894640899418,0.4089464089941799,0.4089464089941799,0.16723716542923506
ou,86,mu,0.2,0.2054136268795971,0.005413626879597094,0.005413626879597094,2.930735599149617e-05
ou,86,sigma,0.25,0.30108142285179085,0.05108142285179085,0.05108142285179085,0.0026093117605634603
shifted_ou,86,theta,0.7,2.3726293351863594,1.6726293351863595,1.6726293351863595,2.797688892925963
shifted_ou,86,mu0,0.1,0.14391754357082936,0.04391754357082936,0.04391754357082936,0.001928750633295695
shifted_ou,86,delta,0.6,0.35153563762751167,-0.2484643623724883,0.2484643623724883,0.06173453936916719
shifted_ou,86,sigma,0.2,0.15926166130663597,-0.040738338693364046,0.040738338693364046,0.0016596122394952422
brownian,87,drift,0.15,-0.010818805907727904,-0.1608188059077279,0.1608188059077279,0.025862688333587458
brownian,87,sigma,0.3,0.20655813608339935,-0.09344186391660064,0.09344186391660064,0.008731381932208513
ou,87,theta,0.8,1.7873668860370846,0.9873668860370846,0.9873668860370846,0.9748933676425692
ou,87,mu,0.2,0.3184701913352822,0.1184701913352822,0.1184701913352822,0.014035186235018373
ou,87,sigma,0.25,0.30469420339305153,0.05469420339305153,0.05469420339305153,0.00299145588480049
shifted_ou,87,theta,0.7,0.5965511450466507,-0.10344885495334921,0.10344885495334921,0.010701665591159084
shifted_ou,87,mu0,0.1,0.16948687133222426,0.06948687133222425,0.06948687133222425,0.004828425287541089
shifted_ou,87,delta,0.6,0.961065260904137,0.36106526090413704,0.36106526090413704,0.13036812263177255
shifted_ou,87,sigma,0.2,0.17079462320491123,-0.029205376795088778,0.029205376795088778,0.00085295403374311
brownian,88,drift,0.15,0.34670522106719737,0.19670522106719737,0.19670522106719737,0.038692943995094986
brownian,88,sigma,0.3,0.30635213873235284,0.006352138732352852,0.006352138732352852,4.03496664750573e-05
ou,88,theta,0.8,0.5914610353108487,-0.20853896468915134,0.20853896468915134,0.04348849979362311
ou,88,mu,0.2,0.2930047760186548,0.09300477601865481,0.09300477601865481,0.008649888362280148
ou,88,sigma,0.25,0.20978425502456227,-0.04021574497543773,0.04021574497543773,0.001617306143929445
shifted_ou,88,theta,0.7,2.967873552711445,2.2678735527114453,2.2678735527114453,5.143250451088033
shifted_ou,88,mu0,0.1,-0.10141435060358936,-0.20141435060358936,0.20141435060358936,0.04056774062906562
shifted_ou,88,delta,0.6,0.4768089819355373,-0.1231910180644627,0.1231910180644627,0.015176026931758775
shifted_ou,88,sigma,0.2,0.2508890152621098,0.050889015262109816,0.050889015262109816,0.002589691874347246
brownian,89,drift,0.15,0.2696103257189837,0.1196103257189837,0.1196103257189837,0.014306630018601373
brownian,89,sigma,0.3,0.30412662017228387,0.004126620172283879,0.004126620172283879,1.7028994046300233e-05
ou,89,theta,0.8,1.249060104211534,0.44906010421153386,0.44906010421153386,0.20165497719447364
ou,89,mu,0.2,0.2027622748835017,0.0027622748835016975,0.0027622748835016975,7.630162532024316e-06
ou,89,sigma,0.25,0.34621454854483885,0.09621454854483885,0.09621454854483885,0.009257239351687152
shifted_ou,89,theta,0.7,1.1336083167585456,0.4336083167585456,0.4336083167585456,0.1880161723621792
shifted_ou,89,mu0,0.1,-0.34392019577031835,-0.4439201957703184,0.4439201957703184,0.1970651402127578
shifted_ou,89,delta,0.6,0.8148329072935117,0.21483290729351168,0.21483290729351168,0.04615317805618258
shifted_ou,89,sigma,0.2,0.20474045268851473,0.004740452688514724,0.004740452688514724,2.247189169204647e-05
brownian,90,drift,0.15,0.4489228912214841,0.2989228912214841,0.2989228912214841,0.0893548948962112
brownian,90,sigma,0.3,0.27514971495051405,-0.024850285049485943,0.024850285049485943,0.0006175366670407046
