scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
shifted_ou,15,theta,0.7,0.5373678185861945,-0.16263218141380542,0.16263218141380542,0.02644922643141292
shifted_ou,15,mu0,0.1,0.2036965080257465,0.10369650802574648,0.10369650802574648,0.010752965776733705
shifted_ou,15,delta,0.6,0.5946818065375867,-0.005318193462413245,0.005318193462413245,2.8283181703654984e-05
shifted_ou,15,sigma,0.2,0.14627545618352103,-0.05372454381647898,0.05372454381647898,0.00288632660828877
brownian,16,drift,0.15,0.3372134694193575,0.1872134694193575,0.1872134694193575,0.0350488831320327
brownian,16,sigma,0.3,0.3496671881448103,0.049667188144810304,0.049667188144810304,0.002466829578211985
ou,16,theta,0.8,0.9174334754962549,0.11743347549625482,0.11743347549625482,0.013790621167129482
ou,16,mu,0.2,0.25626965231468946,0.056269652314689445,0.056269652314689445,0.0031662737716160352
ou,16,sigma,0.25,0.19312654981058747,-0.05687345018941253,0.05687345018941253,0.0032345893364475885
shifted_ou,16,theta,0.7,1.1858416795796236,0.48584167957962365,0.48584167957962365,0.2360421376167497
shifted_ou,16,mu0,0.1,0.24600228175699224,0.14600228175699223,0.14600228175699223,0.021316666278248145
shifted_ou,16,delta,0.6,0.5785039886526456,-0.02149601134735435,0.02149601134735435,0.00046207850384558693
shifted_ou,16,sigma,0.2,0.1905871446966746,-0.009412855303325418,0.009412855303325418,8.860184496134144e-05
brownian,17,drift,0.15,0.2431600925826757,0.09316009258267571,0.09316009258267571,0.00867880285001271
brownian,17,sigma,0.3,0.29994306556778827,-5.6934432211719344e-05,5.6934432211719344e-05,3.241529571270865e-09
ou,17,theta,0.8,1.3666668476664476,0.5666668476664476,0.5666668476664476,0.3211113162442289
ou,17,mu,0.2,0.22955040560737566,0.02955040560737565,0.02955040560737565,0.0008732264715604184
ou,17,sigma,0.25,0.25741351628065473,0.0074135162806547306,0.0074135162806547306,5.496022364353275e-05
shifted_ou,17,theta,0.7,1.6671161152055527,0.9671161152055527,0.9671161152055527,0.93531358029028
shifted_ou,17,mu0,0.1,0.1744063599845874,0.07440635998458739,0.07440635998458739,0.005536306406156008
shifted_ou,17,delta,0.6,0.39691797925623545,-0.20308202074376452,0.20308202074376452,0.041242307149370806
shifted_ou,17,sigma,0.2,0.16005232434964414,-0.03994767565035587,0.03994767565035587,0.0015958167898660351
brownian,18,drift,0.15,0.06644929259317313,-0.08355070740682687,0.08355070740682687,0.0069807207081811935
brownian,18,sigma,0.3,0.251131110473282,-0.048868889526717973,0.048868889526717973,0.002388168363574566
ou,18,theta,0.8,1.8022269882390027,1.0022269882390027,1.0022269882390027,1.004458935954622
ou,18,mu,0.2,0.4962112767205812,0.2962112767205812,0.2962112767205812,0.08774112045643671
ou,18,sigma,0.25,0.3163300120444309,0.0663300120444309,0.0663300120444309,0.0043996704978143475
shifted_ou,18,theta,0.7,1.8961954587833185,1.1961954587833186,1.1961954587833186,1.430883575613834
shifted_ou,18,mu0,0.1,0.03935768737714084,-0.060642312622859164,0.060642312622859164,0.003677490080248584
shifted_ou,18,delta,0.6,0.518345798143343,-0.08165420185665695,0.08165420185665695,0.006667408680847679
shifted_ou,18,sigma,0.2,0.24575949507055567,0.045759495070555656,0.045759495070555656,0.0020939313891122076
brownian,19,drift,0.15,0.1307904020853821,-0.019209597914617904,0.019209597914617904,0.00036900865204129253
brownian,19,sigma,0.3,0.2747031874227178,-0.02529681257728217,0.02529681257728217,0.0006399287265701413
ou,19,theta,0.8,0.8360170500304894,0.036017050030489384,0.036017050030489384,0.0012972278928987753
ou,19,mu,0.2,0.13458447209089097,-0.06541552790910904,0.06541552790910904,0.0042791912916274235
ou,19,sigma,0.25,0.19239064018913457,-0.05760935981086543,0.05760935981086543,0.003318838337817757
shifted_ou,19,theta,0.7,1.4060349675424606,0.7060349675424606,0.7060349675424606,0.49848537539268345
shifted_ou,19,mu0,0.1,0.34211669840640324,0.24211669840640324,0.24211669840640324,0.058620495647217226
shifted_ou,19,delta,0.6,0.264793531601822,-0.33520646839817797,0.33520646839817797,0.11236337645597869
shifted_ou,19,sigma,0.2,0.17471974696697468,-0.025280253033025335,0.025280253033025335,0.0006390911934137867
brownian,20,drift,0.15,0.1724215151318859,0.022421515131885894,0.022421515131885894,0.0005027243408093882
brownian,20,sigma,0.3,0.3837987996290753,0.08379879962907533,0.08379879962907533,0.007022238819273915
ou,20,theta,0.8,0.9763156172618559,0.17631561726185585,0.17631561726185585,0.03108719689042924
ou,20,mu,0.2,0.13571207855533213,-0.06428792144466788,0.06428792144466788,0.004132936843675788
