replicate_id,seed,n_observations,true_mu,estimated_mu,mu_lower_95,mu_upper_95,true_theta,estimated_theta,theta_lower_95,theta_upper_95,true_sigma,estimated_sigma,sigma_lower_95,sigma_upper_95,fit_success,convergence_status,runtime_seconds,sequence_index,spawn_key,child_state_uint32,rng_reconstruction,runtime_status
OU_N050_R091,20260805,50,-1.02734030795172,-0.982798759330903,-2.47670213486232,0.511104616200514,0.470131735266672,0.366945636558861,0,1.05233249227315,0.86488117319657,0.838618399451148,0.66355462421347,1.01368217468883,TRUE,successful_fit,,210,"(210,)",941392545,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[210]),not_recorded_by_Figure_S2_script
OU_N050_R092,20260805,50,-1.07364876753604,-0.898912447424031,-1.07374661366008,-0.724078281187981,1.46832955497231,3.89312469068221,1.03110946861029,6.75513991275414,0.882915123083687,0.99761666335838,0.735000408573099,1.26023291814366,TRUE,successful_fit,,211,"(211,)",441543669,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[211]),not_recorded_by_Figure_S2_script
OU_N050_R093,20260805,50,0.428042299980208,0.0140401612980746,-0.315870547780718,0.343950870376868,0.338084689220428,0.994859011098473,0.0270138491776499,1.9627041730193,0.584223954168403,0.517365439758274,0.406197994393197,0.62853288512335,TRUE,successful_fit,,212,"(212,)",203479793,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[212]),not_recorded_by_Figure_S2_script
OU_N050_R094,20260805,50,-0.25923376173687,0.155816484905628,-0.237080751979813,0.548713721791068,0.500924498081236,0.65554284660352,0,1.35743648370568,0.451512178555999,0.401483745730427,0.317759260767811,0.485208230693042,TRUE,successful_fit,,213,"(213,)",2190910363,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[213]),not_recorded_by_Figure_S2_script
OU_N050_R095,20260805,50,0.946523616523784,0.84788418471642,-0.149568897184429,1.84533726661727,0.887077530963757,0.50223188813795,0,1.20887065180275,0.76079840134677,0.779745370340503,0.616398612683849,0.943092127997156,TRUE,successful_fit,,214,"(214,)",1795675851,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[214]),not_recorded_by_Figure_S2_script
OU_N050_R096,20260805,50,0.86586142976547,0.809326853978517,0.695441445299255,0.92321226265778,0.843168813068008,1.63424264181932,0.453744194229324,2.81474108940932,0.321118911346804,0.288431374829099,0.224718140524193,0.352144609134005,TRUE,successful_fit,,215,"(215,)",3227537976,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[215]),not_recorded_by_Figure_S2_script
OU_N050_R097,20260805,50,-0.482100896637496,-0.466356209147753,-0.531472542578651,-0.401239875716855,0.648413286817644,2.18300799997704,0.375314031693286,3.99070196826079,0.247533064668686,0.22152679044591,0.16804114686357,0.27501243402825,TRUE,successful_fit,,216,"(216,)",2850591900,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[216]),not_recorded_by_Figure_S2_script
OU_N050_R098,20260805,50,0.239642189774176,0.165380853664512,-0.0315915800538748,0.362353287382899,1.37476322315558,2.76885155856433,0.693783801293092,4.84391931583557,0.768604166673981,0.842746174877682,0.633705782247816,1.05178656750755,TRUE,successful_fit,,217,"(217,)",3967793938,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[217]),not_recorded_by_Figure_S2_script
OU_N050_R099,20260805,50,1.58766538204068,1.81178411673712,1.24277785160434,2.3807903818699,0.353800140904913,0.519772149909686,0,1.16022902013307,0.421017621877175,0.474224455811699,0.376054520597259,0.572394391026139,TRUE,successful_fit,,218,"(218,)",1057552462,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[218]),not_recorded_by_Figure_S2_script
OU_N050_R100,20260805,50,0.312076921367315,0.164295718761402,-1.39514399648728,1.72373543401008,0.303832483668426,0.25823991271839,0,0.755986236952921,0.499578663818377,0.515357780232801,0.410244949811341,0.62047061065426,TRUE,successful_fit,,219,"(219,)",1186639424,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[219]),not_recorded_by_Figure_S2_script
